Record	Yhat	Residual	Hat	RinvRes	AOMstat
1	6.7094	-0.5536	0.1432E-01	-0.2383	-0.3658
2	6.7094	0.4191E-01	0.1432E-01	0.4740E-01	0.7217E-01
3	6.7094	-0.1802E-02	0.1432E-01	-0.1818E-01	-0.2768E-01
4	6.7094	0.2884	0.1432E-01	0.1383	0.2105
5	6.7094	-0.2528	0.1432E-01	-0.1801	-0.2741
6	6.7094	1.052	0.1432E-01	0.4397	0.6694
7	6.7094	0.5517	0.1432E-01	0.1786	0.2720
8	6.7095	0.9165E-01	0.1432E-01	-0.8342E-01	-0.1270
9	6.7094	1.785	0.1432E-01	0.8384	1.276
10	6.7094	-1.335	0.1432E-01	-0.6649	-1.012
11	6.7094	-0.1392	0.1432E-01	0.2520E-01	0.3836E-01
12	6.7094	-0.2873	0.1432E-01	-0.1881	-0.2863
13	6.7094	1.348	0.1432E-01	0.5840	0.8890
14	6.7094	0.2830	0.1432E-01	-0.1081	-0.1646
15	6.7095	3.030	0.1432E-01	1.277	1.960
16	6.7094	-1.583	0.1432E-01	-0.6840	-1.050
17	6.7094	0.1720	0.1432E-01	0.2086	0.3175
18	6.7095	-0.9632	0.1432E-01	-0.3893	-0.5928
19	6.7094	-0.6977	0.1432E-01	-0.2501	-0.3807
20	6.7094	-0.2422E-01	0.1432E-01	0.1434	0.2184
21	6.7094	-2.224	0.1432E-01	-0.9364	-1.426
22	6.7094	-0.4803	0.1432E-01	-0.6243E-01	-0.9505E-01
23	6.7094	-0.5379	0.1432E-01	-0.2289	-0.3484
24	6.7094	0.4040	0.1432E-01	0.1570	0.2390
25	6.7095	0.8779	0.1432E-01	0.3402	0.5179
26	6.7094	0.3539	0.1432E-01	0.1256	0.1912
27	6.7094	-0.3534	0.1432E-01	-0.2183	-0.3324
28	6.7094	0.8862	0.1432E-01	0.2967	0.4517
29	6.7094	2.005	0.1432E-01	0.5235	0.7969
30	6.7095	5.652	0.1432E-01	2.305	3.538
31	6.7094	-0.8870	0.1432E-01	-0.4444	-0.6821
32	6.7094	1.254	0.1432E-01	0.5979	0.9103
33	6.7094	-0.1518	0.1432E-01	-0.1671	-0.2544
34	6.7094	0.6702	0.1432E-01	0.2634	0.4010
35	6.7095	0.6604	0.1432E-01	0.2465	0.3752
36	6.7094	0.7920E-01	0.1432E-01	-0.8513E-02	-0.1296E-01
37	6.7094	0.1521	0.1432E-01	-0.5334E-02	-0.8120E-02
38	6.7095	1.272	0.1432E-01	0.6159	0.9377
39	6.7094	-1.390	0.1432E-01	-0.5912	-0.9001
40	6.7094	-1.474	0.1432E-01	-0.3414	-0.5197
41	6.7094	-4.242	0.1432E-01	-1.591	-2.421
42	6.7094	-3.197	0.1432E-01	-1.251	-1.904
43	6.7094	1.704	0.1432E-01	0.7885	1.200
44	6.7094	2.232	0.1432E-01	0.7139	1.087
45	6.7095	3.089	0.1432E-01	1.200	1.841
46	6.7094	-0.4123	0.1432E-01	-0.1863	-0.2859
47	6.7094	0.1986	0.1432E-01	0.2709E-01	0.4124E-01
48	6.7095	1.530	0.1432E-01	0.5237	0.7973
49	6.7094	2.435	0.1432E-01	0.9487	1.444
50	6.7094	0.4759	0.1432E-01	0.1688	0.2569
51	6.7094	-1.728	0.1432E-01	-0.7272	-1.107
52	6.7095	-0.8695	0.1432E-01	-0.2854	-0.4345
53	6.7094	-0.1436E-02	0.1432E-01	0.1064	0.1619
54	6.7094	-1.161	0.1432E-01	-0.5138	-0.7822
55	6.7094	0.2094	0.1432E-01	0.7656E-01	0.1166
56	6.7094	1.429	0.1432E-01	0.8029	1.222
57	6.7094	-3.703	0.1432E-01	-1.636	-2.491
58	6.7094	-0.7995	0.1432E-01	-0.1048	-0.1595
59	6.7095	-0.8799	0.1432E-01	-0.4657	-0.7090
60	6.7094	2.408	0.1432E-01	1.073	1.648
61	6.7094	1.083	0.1432E-01	0.4350	0.6677
62	6.7095	0.5074	0.1432E-01	0.1457	0.2218
63	6.7094	0.3218	0.1432E-01	0.1301	0.1980
64	6.7094	-0.3316	0.1432E-01	-0.1663	-0.2532
65	6.7094	0.1098	0.1432E-01	0.5935E-01	0.9036E-01
66	6.7094	0.1070	0.1432E-01	0.1026	0.1561
67	6.7094	-1.177	0.1432E-01	-0.4592	-0.6991
68	6.7094	-1.065	0.1432E-01	-0.4868	-0.7411
69	6.7095	1.663	0.1432E-01	0.7939	1.209
70	6.7094	-0.3416	0.1432E-01	-0.2066	-0.3145
71	6.7094	-0.5492	0.1432E-01	-0.2430	-0.3699
72	6.7094	0.4407	0.1432E-01	0.1439	0.2192
73	6.7094	1.438	0.1432E-01	0.5680	0.8648
74	6.7094	0.5986	0.1432E-01	0.1344	0.2047
75	6.7094	0.9294	0.1432E-01	0.3648	0.5600
76	6.7094	1.784	0.1432E-01	0.7668	1.177
77	6.7094	-0.1148	0.1432E-01	-0.2977	-0.4533
78	6.7094	2.924	0.1432E-01	1.263	1.924
79	6.7095	0.1655	0.1432E-01	-0.9352E-02	-0.1424E-01
80	6.7094	-1.386	0.1432E-01	-0.5029	-0.7657
81	6.7094	-2.013	0.1432E-01	-0.6212	-0.9457
82	6.7094	-3.370	0.1432E-01	-1.381	-2.102
83	6.7095	0.5312	0.1432E-01	0.3884	0.5914
84	6.7094	0.3621	0.1432E-01	0.1859	0.2830
85	6.7094	-1.085	0.1432E-01	-0.4543	-0.6916
86	6.7095	-0.6535	0.1432E-01	-0.1823	-0.2775
87	6.7094	-0.8261	0.1432E-01	-0.3760	-0.5724
88	6.7094	1.001	0.1432E-01	0.4991	0.7598
89	6.7094	-0.4183	0.1432E-01	-0.3649	-0.5555
90	6.7094	2.487	0.1432E-01	1.082	1.661
91	6.7094	-0.4068	0.1432E-01	-0.1644	-0.2524
92	6.7094	-0.1719	0.1432E-01	0.2482E-01	0.3779E-01
93	6.7094	-1.477	0.1432E-01	-0.6157	-0.9374
94	6.7094	-0.2783	0.1432E-01	0.5799E-01	0.8829E-01
95	6.7094	-1.911	0.1432E-01	-0.8324	-1.267
96	6.7094	0.3727	0.1432E-01	0.2566	0.3907
97	6.7094	0.1026	0.1432E-01	-0.3410E-01	-0.5191E-01
98	6.7094	1.118	0.1432E-01	0.3888	0.5919
99	6.7095	1.705	0.1432E-01	0.7378	1.123
100	6.7094	-1.113	0.1432E-01	-0.5753	-0.8759
101	6.7094	0.6758E-01	0.1432E-01	0.3853E-01	0.5866E-01
102	6.7094	0.9372	0.1432E-01	0.2791	0.4249
103	6.7095	2.338	0.1432E-01	0.9332	1.421
104	6.7094	0.5624	0.1432E-01	-0.1061E-01	-0.1615E-01
105	6.7094	2.486	0.1432E-01	1.030	1.582
106	6.7095	-1.692	0.1432E-01	-0.5989	-0.9193
107	6.7094	-2.326	0.1432E-01	-0.9185	-1.398
108	6.7094	0.6171E-02	0.1432E-01	0.2416	0.3679
109	6.7094	-2.210	0.1432E-01	-0.8796	-1.339
110	6.7094	-1.470	0.1432E-01	-0.6135	-0.9340
111	6.7095	1.769	0.1432E-01	0.9876	1.504
112	6.7094	-2.738	0.1432E-01	-1.242	-1.891
113	6.7095	-0.6907	0.1432E-01	-0.1690	-0.2573
114	6.7094	0.2691	0.1432E-01	0.1736	0.2643
115	6.7094	-0.3928	0.1432E-01	-0.1468	-0.2235
116	6.7094	-0.7116	0.1432E-01	-0.2646	-0.4028
117	6.7094	-0.4337	0.1432E-01	-0.3144	-0.4787
118	6.7095	3.116	0.1432E-01	1.383	2.105
119	6.7094	-0.2065	0.1432E-01	-0.3015	-0.4590
120	6.7095	0.9105	0.1432E-01	0.3992	0.6127
121	6.7094	-0.3113	0.1432E-01	-0.1696	-0.2604
122	6.7094	0.7002	0.1432E-01	0.3475	0.5290
123	6.7094	-0.5299	0.1432E-01	-0.1065	-0.1621
124	6.7094	-3.033	0.1432E-01	-1.182	-1.800
125	6.7094	-1.962	0.1432E-01	-0.6765	-1.030
126	6.7094	-0.2505	0.1432E-01	0.5638E-01	0.8583E-01
127	6.7094	-1.167	0.1432E-01	-0.5093	-0.7754
128	6.7094	0.3255	0.1432E-01	0.1966	0.2993
129	6.7094	0.1105	0.1432E-01	-0.2027E-01	-0.3087E-01
130	6.7095	0.9673	0.1432E-01	0.4222	0.6428
131	6.7094	-0.1746	0.1432E-01	-0.1520	-0.2314
132	6.7094	0.4835	0.1432E-01	0.2289	0.3485
133	6.7094	-0.1967	0.1432E-01	-0.5576E-01	-0.8489E-01
134	6.7094	-1.041	0.1432E-01	-0.5335	-0.8122
135	6.7094	1.763	0.1432E-01	0.8069	1.239
136	6.7094	-0.7911	0.1432E-01	-0.2824	-0.4334
137	6.7094	-1.044	0.1432E-01	-0.2675	-0.4073
