Record	Yhat	Residual	Hat	RinvRes	AOMstat
1	6.7272	-0.5713	0.4985E-01	0.9825E-02	0.2041E-01
2	6.5568	0.1946	0.9771E-01	-0.1493E-01	-0.3078E-01
3	6.5457	0.1619	0.9765E-01	0.2728	0.5626
4	6.6218	0.3760	0.9779E-01	0.2539	0.5234
5	6.5364	-0.7975E-01	0.9770E-01	-0.2573	-0.5306
6	6.6727	1.089	0.9779E-01	1.001	2.063
7	6.6489	0.6122	0.9774E-01	0.2606	0.5373
8	6.7332	0.6786E-01	0.4682E-01	-0.3030E-01	-0.6248E-01
9	6.6964	1.798	0.9805E-01	0.9525	1.964
10	6.5652	-1.191	0.9770E-01	-0.9334	-1.925
11	6.5438	0.2644E-01	0.9778E-01	0.5594E-01	0.1153
12	6.6497	-0.2275	0.9782E-01	-0.8260E-01	-0.1703
13	6.6672	1.390	0.9771E-01	0.5861	1.208
14	6.5932	0.3993	0.9779E-01	-0.3807	-0.7849
15	6.7483	2.991	0.4490E-01	0.4177	0.8678
16	6.5589	-1.432	0.9739E-01	-0.5836	-1.120
17	6.5216	0.3598	0.9741E-01	0.3419E-01	0.6510E-01
18	6.7332	-0.9870	0.4682E-01	-0.5501	-1.047
19	6.3502	-0.3385	0.9743E-01	-0.4587	-0.8734
20	6.4465	0.2387	0.8913E-01	0.2847	0.5421
21	6.4773	-1.992	0.9736E-01	-1.520	-2.895
22	6.5427	-0.3135	0.9743E-01	-0.1302	-0.2478
23	6.5596	-0.3880	0.9767E-01	-0.4866	-0.9264
24	6.6358	0.4776	0.9734E-01	0.1032	0.1964
25	6.7483	0.8391	0.4490E-01	0.9284	1.768
26	6.7858	0.2776	0.8923E-01	0.8247	1.570
27	6.8084	-0.4523	0.9736E-01	0.3787	0.7210
28	6.6992	0.8964	0.9743E-01	-0.2786	-0.5305
29	6.5721	2.142	0.9737E-01	0.5801	1.104
30	6.9052	5.457	0.9774E-01	1.959	3.759
31	6.5949	-0.7725	0.9778E-01	-0.1789	-0.3432
32	6.6270	1.337	0.9739E-01	0.7200	1.371
33	6.7097	-0.1520	0.9735E-01	-0.2899	-0.5519
34	6.3485	1.031	0.9742E-01	0.1824	0.3472
35	6.7483	0.6216	0.4490E-01	0.1110	0.2113
36	6.5519	0.2368	0.9741E-01	0.8984	1.710
37	6.6572	0.2043	0.9738E-01	0.1892	0.3603
38	6.8678	1.114	0.8925E-01	0.7932	1.510
39	6.5315	-1.212	0.9742E-01	-0.6005	-1.143
40	6.4432	-1.207	0.9739E-01	-0.6418	-1.222
41	6.2184	-3.751	0.9734E-01	-2.463	-4.690
42	6.7272	-3.215	0.4985E-01	-0.9917	-1.888
43	6.7441	1.669	0.9741E-01	0.9978	1.900
44	6.9411	2.000	0.9737E-01	0.8531	1.624
45	6.6828	3.115	0.1036	0.6892E-01	0.1322
46	6.6142	-0.3170	0.9745E-01	-0.2768	-0.5310
47	6.5432	0.3649	0.9737E-01	-0.2392	-0.4554
48	6.8678	1.372	0.8925E-01	0.6968	1.327
49	6.7455	2.399	0.9782E-01	1.172	2.232
50	6.7958	0.3895	0.9736E-01	0.8137E-01	0.1549
51	6.6669	-1.685	0.9741E-01	-1.120	-2.133
52	6.7332	-0.8933	0.4682E-01	-0.2369	-0.4510
53	6.5756	0.1324	0.9740E-01	0.1915	0.3645
54	6.6216	-1.074	0.9737E-01	-0.8563	-1.630
55	6.4887	0.4301	0.9745E-01	0.4756	0.9056
56	6.8338	1.305	0.9736E-01	1.844	3.511
57	6.2638	-3.257	0.9739E-01	-1.502	-2.859
58	6.4159	-0.5060	0.9743E-01	-0.7015	-1.336
59	6.7483	-0.9187	0.4490E-01	-1.159	-2.207
60	6.6429	2.475	0.9742E-01	0.7741	1.485
61	6.5696	1.223	0.9737E-01	0.3985	0.7645
62	6.7483	0.4686	0.4490E-01	0.2168	0.4128
63	6.7057	0.3256	0.9738E-01	-0.7124	-1.356
64	6.3508	0.2712E-01	0.9738E-01	-0.4883	-0.9296
65	6.7747	0.4455E-01	0.9782E-01	0.1732	0.3297
66	6.6822	0.1343	0.9738E-01	0.8156	1.553
67	6.6087	-1.076	0.9734E-01	0.2833	0.5394
68	6.6134	-0.9692	0.9743E-01	-0.9135	-1.739
69	6.7332	1.639	0.4682E-01	1.224	2.331
70	6.5826	-0.2148	0.9743E-01	-0.5566E-01	-0.1060
