H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12 H13 H14 H15 H16 H17 H18 H19 H20 H21 H22 H23 H24 H25 H26 H27 H28 H29 H30 H31 H32 H33 H34 H35 H36 H37 H38 H39 H40 H41 H42 H43 H44 H45 H46 H47 H48 H49 H50 H51 H52 H53 H54 H55 H56 H57 H58 H59 H60 H61 H62 H63 H64 H65 H66 H67 H68 H69 H70 H71 H72 H73 H74 H75 H76 H77 H78 H79 H80 H81 H82 H83 H84 H85 H86 H87 H88 H89 H90 H91 H92 H93 H94 H95 H96 H97 H98 H99 H100 H101 H102 H103 H104 H105 H106 H107 H108 H109 H110 H111 H112 H113 H114 H115 H116 H117 H118 H119 H120 H121 H122 H123 H124 H125 H126 H127 H128 H129 H130 H131
H1 1.25164641187611 0.589139555562902 0.666184171551696 0.632919127745797 0.171591340307985 0.0969159249183668 0.0952911293969135 0.689984517505601 0.082629493720705 0.669043540785082 0.0339265216439774 0.171553294566009 0.061688517000186 -0.00343443964956104 0.0736101763392337 0.0403451325333338 0.0364694496221672 0.113514065610962 0.0802490218050621 -0.200004540434646 -0.162243443070322 -0.202438767411732 -0.140235124657789 -0.139238120996651 -0.16226397050677 -0.113253171886625 -0.0753102946868484 -0.21179770405662 -0.137190039925855 -0.146547826065455 -0.208503504653449 -0.125239983714388 -0.165869109102163 -0.20332144717902 -0.192456620218382 -0.18603262256236 0.075833946518836 -0.122468355923463 0.0321993380021885 -0.205124046753171 -0.204342732557018 -0.227092158033545 0.128111211309427 -0.136475576142208 -0.0125479302334629 -0.202487451951274 -0.149287966343244 -0.18660708801837 -0.195680759904824 -0.205678953619291 -0.178348639957601 -0.152962559126266 -0.165284894627662 -0.16101561171673 -0.143377396810075 -0.140998999615897 -0.183399115958866 -0.219314681735936 -0.217689138870267 -0.153865766330003 -0.209285303272881 -0.159074588190598 -0.176289053833929 -0.16744063877222 -0.151392361620226 -0.179630908377173 -0.111897210575733 -0.213566757318698 -0.191675427128049 0.0750955643357865 -0.1674110889522 -0.178862249739184 -0.212197232155993 -0.157230691531911 -0.195872107100038 -0.11466248031112 -0.126304746081679 -0.104209352584742 -0.0913313230293977 -0.0371024379534462 -0.153809149359267 -0.110317445709932 -0.0780769571391634 -0.15806807772261 -0.147709412535641 -0.187811485395839 0.0820926347308919 -0.163391465688694 -0.184830828960016 0.109112614729458 -0.190223973878279 -0.123418915502724 -0.123413284082106 -0.168196581299135 -0.107095364822426 -0.193524228572437 -0.190384862959824 -0.125314221581898 -0.16509748337159 -0.169139390105931 -0.158705336546164 0.0368214627189779 -0.156398391785641 0.0289332351492016 -0.135825116784301 -0.0529840129445471 -0.0368986774117075 -0.125711751435246 0.0328873401642196 0.0492098008921404 -0.155218457783763 -0.156851933080625 -0.138494773474992 -0.12373318510499 -0.174894035896165 -0.18368958826755 -0.066891441967813 0.0980636463698823 -0.139961425505141 -0.109711674399514 -0.153311162228433 -0.168564742991191 -0.0208533067993873 -0.155186001424068 0.0663572950171462 0.0797122392906872 -0.0996588619603374 0.0186790237317712 -0.269221602869362 0.239788216362071 0.0693661085560621
H2 0.589139555562902 1.17395145763522 0.553476919290392 0.564662192250103 0.0782909323450443 0.139625951054091 0.0424370375868269 0.0274776611923966 -0.00415517892774812 0.00653668447187758 0.00520724533551131 -0.019756478949426 -0.0250961556482671 0.581377462422761 -0.0390970759220711 -0.0279118029623601 0.621281351694489 0.00080681334965723 0.0119920863093682 -0.210654101800668 -0.171903085465662 -0.0230534362268861 0.0563629766889109 0.0598643275967728 -0.080718093409302 0.10539648265026 -0.126295360380648 -0.156935314437527 0.0562831679536921 -0.189310654338593 -0.209756223253001 -0.14050670445859 -0.149177699494357 -0.174448124267825 -0.184209071681391 -0.198721121509786 -0.00891178854821296 0.20129739588081 0.00113823845710964 -0.0293364061558031 -0.0319016090769548 -0.168964513302204 -0.0550501993353962 -0.138201091862085 -0.129192696012479 -0.199159948447671 -0.215653713357636 -0.243324818796118 -0.187152488077639 -0.214481651234042 -0.16840197676944 -0.178712078522687 -0.185493822770268 -0.173541586654045 -0.169946923712061 -0.165123278911198 -0.200342788989223 -0.193366791006755 -0.172327016387717 -0.18898996612788 -0.182377043393039 -0.174806718600121 -0.207800788134318 -0.218071106625776 -0.205036911115857 -0.197933873128466 0.0237913242540212 -0.236738054918344 -0.177163316746744 -0.00463408878280812 -0.157021178463734 -0.237641080463351 -0.157068894156717 -0.166195913156773 -0.186132292652019 -0.183805910407425 -0.163430946185935 0.046682564645482 0.101920261199997 -0.114453330560403 -0.169659479048871 0.110651869698551 -0.019513452562522 -0.195415901477018 -0.215138953070765 -0.184040734591931 0.0329322704233489 0.0120489645234348 -0.17833410725923 -0.110816159475685 -0.21595871836469 -0.135376056404647 -0.109839380486447 -0.184940793044354 -0.185975460615435 -0.181427815977795 -0.185033196784827 -0.10161950462927 -0.180837001236118 -0.171913924436531 -0.160031929695766 -0.0818622406414423 -0.182945756322611 -0.00192840311073993 -0.206047115311348 0.0754574285252159 0.0972089420469576 -0.126787171114675 -0.044397065347691 -0.0240558290970026 -0.123316278320482 -0.170353052078611 -0.109769199663898 -0.127645387506373 -0.155247644286324 -0.161420650130903 -0.0237898807168195 -0.0357938895709877 -0.139005295058171 -0.162528828934576 -0.12126123366505 -0.14887402665132 -0.13293262538526 -0.166441334100508 -0.0644861592816484 -0.0643769218322289 -0.0869197407802531 0.342710723916228 -0.18996583682347 -0.0509714764318496 -0.0440134021107055
H3 0.666184171551696 0.553476919290392 1.10761380717102 0.592181309884791 0.0910055901495382 0.0828024948956966 0.0815027473944673 0.104522277181191 0.0381388487171154 0.0835813004606723 0.0242012398943292 0.0406146510928864 0.0171978719965964 -0.0390970759220711 0.515039811958553 -0.000392685327671283 0.00080681334965723 0.554943701230281 0.039511203944057 -0.165582391073892 -0.145034063871421 -0.158353826904323 -0.125633517075684 -0.126734550635991 -0.147935698759854 -0.105255949079069 -0.0948239543182373 -0.148091683055699 -0.124523945555084 -0.133830019509648 -0.15798409083661 -0.100037378199983 -0.122884899390512 -0.14771946431868 -0.148704115186203 -0.13634060370609 -0.0048182907346563 -0.125958625648818 -0.0424616732421778 -0.170399011737209 -0.169506885715979 -0.164486867828383 0.0265155391165121 -0.0945847097713102 -0.0784474198417956 -0.157501241933244 -0.149018021471009 -0.153211794903323 -0.160327791213429 -0.173879350785343 -0.150301864266237 -0.132960721935443 -0.126385947533825 -0.152523429423833 -0.134523229221929 -0.128857414550486 -0.154096472916637 -0.177276066264936 -0.173434286897741 -0.14153210743446 -0.164890089655259 -0.136272905552847 -0.144452513724955 -0.1417800110475 -0.129617535228182 -0.14278567377475 -0.10631568555484 -0.168159462365379 -0.168910681765323 -0.0518464659795833 -0.144483819579362 -0.162059180565564 -0.148343462054971 -0.138130123851708 -0.161878430129579 -0.115286417494501 -0.122518372627022 -0.110625054492111 -0.0959814231905508 -0.0727576867709511 -0.139037630312046 -0.0999193000257216 -0.0866424084530129 -0.131306719202132 -0.141455629109285 -0.164751241832909 -0.0322685597108141 -0.146012175024677 -0.150467779239303 -0.048723752417187 -0.159791050220272 -0.111033544422146 -0.114825064874142 -0.14854195449355 -0.115771627961352 -0.163261216379547 -0.169814191733609 -0.121490910852216 -0.141357593948193 -0.143131551995972 -0.135770679718321 -0.0340571715627835 -0.132023181231806 0.00744712503145431 -0.144013807892891 -0.0650511179308079 -0.045552778185618 -0.114855583540721 0.0121769128220066 0.00946190200181711 -0.132926509541362 -0.111747523782515 -0.116446611247759 -0.114517032221594 -0.133586778470669 -0.142227194286947 -0.0719035274242154 -0.020796508169922 -0.112793756959383 -0.1094712793473 -0.121289935744332 -0.136720815427213 -0.0803404854633042 -0.121975394684148 -0.0435935887865229 -0.0421619968911928 -0.0940330122094139 -0.0315812236307916 -0.197958215398236 0.0473785597916172 -0.000603868760073609
H4 0.632919127745797 0.564662192250103 0.592181309884791 1.15279681414615 0.0667089167198143 0.0408645789138242 0.0646674035198818 0.0712572333752914 0.0181268991903424 0.0503162566547724 0.007557969849876 0.0294011604771724 -0.00281407753017662 -0.0279118029623601 -0.000392685327671283 0.560222818933685 0.0119920863093682 0.039511203944057 0.600126708205413 -0.160742941963551 -0.118172611390915 -0.158087212442132 -0.119190990229239 -0.132732498018114 -0.1175208804219 -0.138535767794979 -0.116690155051287 -0.185730100224611 -0.11481616359639 -0.12333177986541 -0.189779031096497 -0.125545594250541 -0.142955948557326 -0.182447224215587 -0.151769242931305 -0.16959087260198 -0.015078799654714 -0.107481934599085 -0.0724392995708139 -0.137561108157586 -0.136181410106022 -0.17763587165543 0.0585482101005796 -0.0935054752585588 -0.104694381392862 -0.175540740973659 -0.136222283320189 -0.138613517731262 -0.157778453154665 -0.169224588050129 -0.117781621251834 -0.11651558101211 -0.0973451958268178 -0.132362398632941 -0.123264081712167 -0.123958865800104 -0.149633784011556 -0.161761744672244 -0.169429620202975 -0.114050108733527 -0.145349605084794 -0.116931882267519 -0.117155201399149 -0.0931329537569908 -0.130392551921707 -0.125077278045547 -0.112668230777206 -0.138180503872726 -0.150116330150372 -0.0628235580351346 -0.133837830835022 -0.119137400903997 -0.185863679943801 -0.113507070237743 -0.156078611868576 -0.0916089581211872 -0.105940257513597 -0.129846546333339 -0.0835328954249699 -0.0938777545484873 -0.111932391816372 -0.109116015425047 -0.0960385851374754 -0.123253727164578 -0.135219951002982 -0.176533566484015 -0.0606578832133563 -0.137471610956787 -0.134850033276539 -0.0607129258084352 -0.173612312452782 -0.103652810790055 -0.117683343879102 -0.12052805903225 -0.0667108731905575 -0.178796368173237 -0.166585207814377 -0.133044224398164 -0.12668544222608 -0.117053169746005 -0.14106681887496 -0.0448126399681821 -0.130471149598728 -0.00424655015959043 -0.0990752530149355 -0.0760134350763489 -0.0539073237143632 -0.0883856661754839 0.00364506837313926 0.0187633739352308 -0.127400027115548 -0.15052360902221 -0.126337747417562 -0.111251111027337 -0.13519657757977 -0.17192409732539 -0.103092696373686 -0.052295950229606 -0.124967616725758 -0.0931147878840275 -0.143547671592652 -0.131415956651551 -0.0946788695461702 -0.143442672846924 -0.0939310411091798 -0.0731369296455156 -0.106332458710876 -0.0148405845072549 -0.212924533156535 0.0262584920140809 0.0121697070257311
H5 0.171591340307985 0.0782909323450443 0.0910055901495382 0.0667089167198143 1.20270755775304 0.127452994640658 0.00428810634021723 0.188947883754379 0.102300666211348 0.120009761749139 0.0281470615254264 0.0501380012528246 0.0333625442061083 0.0340462911462199 0.0467609489507137 0.0224642755209899 0.0498352510597458 0.0625499088642397 0.0382532354345158 -0.165337564014018 -0.151408396496106 -0.160170099790869 -0.12371912518466 -0.117307117004794 -0.139180523534119 -0.0918614521101396 -0.103207674704306 -0.183712950045525 -0.102973698260538 -0.133961952655034 -0.188367652227828 -0.110932833287781 -0.146575426547122 -0.175450929363073 -0.160855437624866 -0.150966723571457 0.0140798602130631 -0.0763803740649703 -0.0401705211458949 -0.149757421408288 -0.150749096413357 -0.194353307369246 0.0689279593454246 -0.116908557751979 -0.0891581885544665 -0.19013058964601 -0.162425211260537 -0.175232757228783 -0.17700762357021 -0.177572037243181 -0.151002631447015 -0.146205387714859 -0.162435686913946 -0.167075674739149 -0.133842542316755 -0.162203345398745 -0.16327065098825 -0.192293721245573 -0.191229624960291 -0.162467113874172 -0.18618708139022 -0.154171667985468 -0.177251772902837 -0.150112019248533 -0.141672820751778 -0.162405713223556 -0.10561283628465 -0.192721709212589 -0.174376357424382 -0.0311014512805921 -0.154588816981616 -0.173434820228692 -0.184053378504857 -0.150451357755488 -0.166524098283073 -0.125258440706663 -0.148824058855433 -0.103886654482765 -0.0777703055583045 -0.0790876946656052 -0.158576407755796 -0.0805926766877071 -0.0786333661827923 -0.152160463636788 -0.129405648951281 -0.184858853312051 0.0304889116021092 -0.123737957139632 -0.166364541365545 -0.0225489582894564 -0.180127672804572 -0.147231032902368 -0.129658033479652 -0.15793036876031 -0.104105795463613 -0.18220899742289 -0.185814378229923 -0.118401913615384 -0.166074977350509 -0.17601207317891 -0.129778412664489 0.0196137300938823 -0.144011979660356 0.0633490380996566 -0.134217001511439 -0.0320577028333817 -0.029816457980076 -0.108974128311965 0.0299300082439375 0.0521993702509535 -0.142233661803066 -0.129276913464881 -0.11783441174401 -0.118002869939289 -0.147341178645436 -0.158818377183668 -0.0843281856980665 -0.0204556441949821 -0.111935771134087 -0.127887163630277 -0.138509052316485 -0.14927106043615 -0.0960968859444497 -0.126111328442291 -0.038768539623495 -0.0393241731245334 -0.103539625756256 0.0467342279228457 -0.233963630048327 0.142456146751798 0.0369254437104762
H6 0.0969159249183668 0.139625951054091 0.0828024948956966 0.0408645789138242 0.127452994640658 1.2233091105673 0.0101267316053927 0.0933864378711671 0.0543365929259146 0.060722522029592 0.0314685029739954 0.0421861863636303 0.0216726770843395 0.11562737841173 0.0588039222533362 0.0168660062714637 0.132289013694069 0.0754655575356753 0.0335276415538029 -0.162386684354176 -0.145650283934331 -0.125645237439284 -0.0350589925557951 -0.0656507464964114 -0.0936631281349645 -0.0338961950274125 -0.10752605076947 -0.167752762121724 -0.0529573427632848 -0.134483176847584 -0.164517662358595 -0.0749157050251688 -0.134803925611206 -0.163228793671847 -0.143151810319865 -0.136417539553629 0.0472232684786967 0.0354689798248643 -0.000880750316028633 -0.0656627359725672 -0.0667430604376964 -0.167031213647621 0.0360792320506125 -0.0978604136360517 -0.0880984973759275 -0.162114075153907 -0.155861866103208 -0.157543904833792 -0.183135926111621 -0.195926577818012 -0.148768334922667 -0.15364126979217 -0.158044253528112 -0.177762037018699 -0.135915132060373 -0.160914643115048 -0.181935464673295 -0.192615484152985 -0.181039039395464 -0.160580027735063 -0.173351786933572 -0.172046023984968 -0.161823481739403 -0.151113428016413 -0.139541948597502 -0.138459686439256 -0.048637498172605 -0.157679725010648 -0.187825627875835 0.0193064393319306 -0.156993842200463 -0.179127262924803 -0.168063640761037 -0.155634066056248 -0.168596688026691 -0.133144957539285 -0.138714735295662 -0.0118652298265849 0.00126397319893186 -0.0670797951695267 -0.146679320084794 0.0568615962497604 -0.0593857607817282 -0.14575964248957 -0.149969038572633 -0.182609781877693 0.072859251169097 -0.0371389244571865 -0.153189423978662 -0.0304502500320885 -0.158028509771544 -0.131366881893634 -0.0711017799965177 -0.157166175781975 -0.116077574914048 -0.18816000104418 -0.185589469466958 -0.0783512349199937 -0.176798276905085 -0.166080048539261 -0.142717948720591 -0.00349094404921965 -0.153649323329184 0.0459991914055176 -0.124521375431953 0.0173602688084593 0.0446819234040367 -0.0842007065670957 0.0198641921848148 0.0367554869481274 -0.136482936696297 -0.118739117514815 -0.0795862720698606 -0.0828205240922519 -0.13809618732126 -0.149654647864548 -0.063100742355639 0.0239684078634198 -0.0986941666521587 -0.122431936723711 -0.113432744916407 -0.136524415439563 -0.0996543541440904 -0.130215468312309 -0.0215968090788604 0.0218176896103813 -0.0847426551105017 0.198121240999908 -0.210224452004169 0.107051360025225 0.0418487738566758
H7 0.0952911293969135 0.0424370375868269 0.0815027473944673 0.0646674035198818 0.00428810634021723 0.0101267316053927 1.01697919315633 0.0712246820036453 0.0672652483325581 0.0286995344944822 0.0131566319283278 0.01097581887908 0.024740100823395 -0.0151886259337986 0.0238770838738418 0.00704173999925627 -0.022205582325255 0.0168601274823854 2.47836077998664e-05 -0.130356126657565 -0.12464180910531 -0.125129562794375 -0.095896131728137 -0.110471883217724 -0.1091856183061 -0.0963068621158379 -0.0643108861951563 -0.0873343741417901 -0.102668974697965 -0.118202673221818 -0.137599223525504 -0.0758331966512469 -0.0924087685424568 -0.117516669305813 -0.103807672168216 -0.101099564379753 -0.0093808589757301 -0.0934287823093477 -0.0510060797309939 -0.118683947749527 -0.117910021008379 -0.124805968043989 0.00181476853156984 -0.0820748694956272 -0.0601975270271596 -0.127527458025535 -0.121046237869678 -0.133728197102838 -0.144988555670797 -0.143506644307359 -0.128070133203859 -0.124181546437329 -0.118116506431062 -0.132530097227996 -0.131846091558017 -0.133338720786504 -0.14204465485127 -0.146238488836494 -0.153699515627083 -0.124951779450974 -0.137361553354233 -0.127131744759484 -0.115557298247988 -0.118358899729303 -0.132643512828197 -0.131642512675008 -0.078122278303356 -0.137594682057263 -0.129015545785781 -0.044212346007258 -0.132129115858786 -0.127778510389888 -0.0877043524211433 -0.129424822903645 -0.138117495881147 -0.110599892069205 -0.117351662626396 -0.0882825116046562 -0.0650398826771747 -0.0642813969280458 -0.130044218618784 -0.0864269282343619 -0.0596236065473382 -0.1286000317182 -0.125894769916501 -0.144137363416645 -0.0523743332825918 -0.0956785651229462 -0.127127929926161 -0.0522520769575487 -0.128177251301433 -0.111067602745101 -0.0955557032688042 -0.123702451814376 -0.128275710332894 -0.141783005727688 -0.146326593320366 -0.0983135855491871 -0.123632210438918 -0.127548530438172 -0.134245985035203 -0.0536458232842052 -0.129575054673051 -0.00100124454229554 -0.117563840022608 -0.0555701342072107 -0.0293344354973811 -0.0730618716248712 0.00676478725534756 0.00530564378602309 -0.0925585764414944 -0.0862726999729033 -0.0774453573238325 -0.0707213199993659 -0.107949430650946 -0.119722127389381 -0.0620383960403536 -0.0441896992189637 -0.0845707998878788 -0.112741042962483 -0.0983563964564707 -0.104885392858221 -0.0651489990207744 -0.0943360465580463 -0.0484442677727952 -0.0429052508946365 -0.076972499650597 -0.0371041610225268 -0.146117564675468 0.00893712289721244 0.000418478982698478
H8 0.689984517505601 0.0274776611923966 0.104522277181191 0.0712572333752914 0.188947883754379 0.0933864378711671 0.0712246820036453 1.31387786206547 0.706522838280571 0.664845002621792 0.0297279834806877 0.167354756402719 0.0574899788368963 -0.00801113713933652 0.0690334788494582 0.0357684350435583 0.0205479723378214 0.0975925883266162 0.0643275445207163 -0.227299886692522 -0.189538789328198 -0.229734113669608 -0.167530470915665 -0.166533467254528 -0.189559316764647 -0.140548518144502 -0.102605640944725 -0.239093050314496 -0.164485386183732 -0.173843172323332 -0.235798850911326 -0.152535329972265 -0.193164455360039 -0.230616793436897 -0.219751966476259 -0.213327968820237 0.0485386002609594 -0.14976370218134 0.00490399174431191 -0.232419393011048 -0.231638078814895 -0.254387504291422 0.10081586505155 -0.163770922400084 -0.0398432764913394 -0.22978279820915 -0.176583312601121 -0.213902434276247 -0.2229761061627 -0.232974299877168 -0.205643986215478 -0.180257905384143 -0.192580240885539 -0.188310957974607 -0.170672743067952 -0.168294345873773 -0.210694462216743 -0.246610027993812 -0.244984485128143 -0.18116111258788 -0.236580649530758 -0.186369934448475 -0.203584400091805 -0.194735985030097 -0.178687707878103 -0.206926254635049 -0.139192556833609 -0.240862103576575 -0.218970773385926 0.0478002180779099 -0.194706435210077 -0.206157595997061 -0.23949257841387 -0.184526037789787 -0.223167453357914 -0.141957826568997 -0.153600092339556 -0.131504698842618 -0.118626669287274 -0.0643977842113228 -0.181104495617144 -0.137612791967808 -0.10537230339704 -0.185363423980487 -0.175004758793517 -0.215106831653716 0.0547972884730153 -0.190686811946571 -0.212126175217893 0.0818172684715817 -0.217519320136156 -0.150714261760601 -0.150708630339982 -0.195491927557011 -0.134390711080302 -0.220819574830314 -0.217680209217701 -0.152609567839775 -0.192392829629467 -0.196434736363808 -0.18600068280404 0.00952611646110138 -0.183693738043517 0.00163788889132507 -0.163120463042177 -0.0802793592024236 -0.0641940236695841 -0.153007097693123 0.00559199390634307 0.0219144546342638 -0.182513804041639 -0.184147279338502 -0.165790119732868 -0.151028531362867 -0.202189382154041 -0.210984934525426 -0.0941867882256895 0.0707683001120057 -0.167256771763018 -0.137007020657391 -0.180606508486309 -0.195860089249068 -0.0481486530572638 -0.182481347681945 0.0390619487592696 0.0524168930328107 -0.126954208218214 -0.0086163225261054 -0.296516949127238 0.212492870104195 0.0420707622981855
H9 0.082629493720705 -0.00415517892774812 0.0381388487171154 0.0181268991903424 0.102300666211348 0.0543365929259146 0.0672652483325581 0.706522838280571 1.21770845723252 0.0574899788368963 0.0269431551554093 0.0217778102841062 0.568675597788844 -0.0396439772594812 0.00265005038538228 -0.0173618991413907 -0.0110848677823233 0.0312091598625402 0.0111972103357672 -0.177892345406858 -0.172207577674624 -0.184759045386997 -0.167397254513934 -0.1759891674494 -0.175692821508458 -0.139366283132048 -0.146324357453193 -0.196452417813492 -0.167839048544402 -0.150454247565586 -0.199888189919957 -0.132382110506747 -0.168482725976403 -0.192164847923777 -0.176328263744716 -0.164755209950147 -0.00689661988557673 -0.144917289486363 -0.0818244878037745 -0.200113810062161 -0.1999013299014 -0.211126325569991 0.00367107394629074 -0.142095887203518 -0.112151443869495 -0.178823891372418 -0.147483885124442 -0.165735985431437 -0.193876678686022 -0.194337667988921 -0.189036745152402 -0.163813188331179 -0.152798553471504 -0.178226839681023 -0.158749148478101 -0.163817305929051 -0.169250597426563 -0.212405869108618 -0.200600413245939 -0.162485384123379 -0.198328165302776 -0.168477276214514 -0.161549538901218 -0.168938749940692 -0.151930103638037 -0.175824826851992 -0.134338756683627 -0.2124940341454 -0.175709594664494 -0.0827063198303245 -0.171701658112595 -0.159099265403015 -0.196851945912866 -0.165170663464819 -0.177438864664784 -0.144794367079311 -0.172674258951052 -0.149640658668468 -0.0701056226022207 -0.103078256406321 -0.168213144421627 -0.138868417107033 -0.11845524399941 -0.155872461388538 -0.143016836409849 -0.183650806030414 -0.07874549344231 -0.180351520182814 -0.173910628264936 -0.0849764484216419 -0.18991954602551 -0.135983434268817 -0.131308931284983 -0.180221815849856 -0.132447568202325 -0.1942835942404 -0.163448659813715 -0.14497808460788 -0.153128264065788 -0.179598484195574 -0.153636000215113 -0.0667712766198016 -0.13143463912589 0.00286444863380894 -0.171039572595992 -0.0645881625599785 -0.0564960533426435 -0.124328755151734 0.00304356414122753 0.00158442067190287 -0.155423764326344 -0.14419568045935 -0.143708774511023 -0.121352882395791 -0.185375292350823 -0.190100357014405 -0.116629634319506 -0.069652202413056 -0.145736873121559 -0.15630281091904 -0.148426512272509 -0.177642382994883 -0.105039201839802 -0.138510973280025 -0.0780141959497161 -0.100215072615661 -0.116796215374579 -0.0512786329688457 -0.245617141930546 0.0041890435373852 0.0205365731699954
H10 0.669043540785082 0.00653668447187758 0.0835813004606723 0.0503162566547724 0.120009761749139 0.060722522029592 0.0286995344944822 0.664845002621792 0.0574899788368963 1.13242602797225 0.497309008831148 0.63493578175318 0.525071004187357 0.0748671658499439 0.151911781838739 0.118646738032839 0.0182822485099029 0.0953268644986977 0.0620618206927978 0.0386075303158271 0.0763686276801511 0.0361733033387408 0.0983769460926841 0.0993739497538216 0.0763481002437024 0.125358898863847 0.163301776063624 0.0268143666938532 0.101422030824617 0.0920642446850173 0.0301085660970234 0.113372087036084 0.0727429616483099 0.0352906235714526 0.0461554505320905 0.0525794481881127 0.314446017269309 0.116143714827009 0.270811408752661 0.0334880239973015 0.0342693381934544 0.0115199127169272 0.3667232820599 0.102136494608265 0.22606414051701 0.0361246187991991 0.0893241044072286 0.0520049827321025 0.0429313108456489 0.0329331171311816 0.0602634307928717 0.0856495116242063 0.0733271761228107 0.0775964590337425 0.0952346739403973 0.0976130711345761 0.0552129547916067 0.0192973890145371 0.0209229318802059 0.0847463044204695 0.0293267674775915 0.0795374825598742 0.0623230169165441 0.0711714319782523 0.0872197091302466 0.0589811623733001 0.12671486017474 0.0250453134317742 0.0469366436224236 0.313707635086259 0.0712009817982727 0.0597498210112884 0.0264148385944797 0.0813813792185621 0.0427399636504351 0.123949590439352 0.112307324668794 0.134402718165731 0.147280747721075 0.201509632797026 0.0848029213912052 0.128294625040541 0.160535113611309 0.0805439930278625 0.0909026582148321 0.0508005853546337 0.320704705481365 0.0752206050617784 0.0537812417904567 0.347724685479931 0.0483880968721936 0.115193155247748 0.115198786668367 0.0704154894513382 0.131516705928047 0.0450878421780356 0.0482272077906483 0.113297849168574 0.0735145873788823 0.0694726806445414 0.0799067342043089 0.275433533469451 0.0822136789648319 0.267545305899674 0.102786953966172 0.185628057805926 0.201713393338765 0.112900319315227 0.271499410914692 0.287821871642613 0.0833936129667101 0.0817601376698475 0.100117297275481 0.114878885645483 0.063718034854308 0.054922482482923 0.17172062878266 0.336675717120355 0.0986506452453317 0.128900396350958 0.0853009085220399 0.0700473277592815 0.217758763951085 0.0834260693264046 0.304969365767619 0.31832431004116 0.138953208790135 0.257291094482244 -0.0306095321188888 0.478400287112544 0.307978179306535
