loc,expt,entry,plot,col,row,rep,yield
7,4,33,3761,10,10,1,4.7
7,4,32,3792,10,11,1,3.35
7,4,178,3823,10,12,1,3.6
7,4,39,3854,10,13,1,3.616666667
7,4,119,3885,10,14,1,6.272988506
7,4,27,3916,10,15,1,8.448275862
7,4,120,3544,10,3,1,2.633333333
7,4,159,3575,10,4,1,3.3
7,4,87,3606,10,5,1,3.916666667
7,4,123,3637,10,6,1,4.716666667
7,4,19,3668,10,7,1,3.066666667
7,4,93,3699,10,8,1,2.05
7,4,95,3730,10,9,1,4.133333333
7,4,88,3762,11,10,1,5.449425287
7,4,55,3793,11,11,1,3.516666667
7,4,163,3824,11,12,1,4.45
7,4,164,3855,11,13,1,4.666666667
7,4,153,3886,11,14,1,5.733333333
7,4,160,3917,11,15,1,3.966666667
7,4,114,3545,11,3,1,3.733333333
7,4,118,3576,11,4,1,1.416666667
7,4,64,3607,11,5,1,2.033333333
7,4,35,3638,11,6,1,5.350344828
7,4,22,3669,11,7,1,4.033333333
7,4,94,3700,11,8,1,2.233333333
7,4,179,3731,11,9,1,4.9
7,4,77,3763,12,10,1,5.980383142
7,4,152,3794,12,11,1,5.10651341
7,4,146,3825,12,12,1,4.683333333
7,4,13,3856,12,13,1,5.45
7,4,61,3887,12,14,1,4.4
7,4,71,3918,12,15,1,5.266666667
7,4,10,3546,12,3,1,5.016666667
7,4,58,3577,12,4,1,2.833333333
7,4,142,3608,12,5,1,3.033333333
7,4,180,3639,12,6,1,4.55
7,4,109,3670,12,7,1,5.566666667
7,4,116,3701,12,8,1,3.533333333
7,4,92,3732,12,9,1,5.659233716
7,4,100,3764,13,10,1,3.133333333
7,4,68,3795,13,11,1,5.4
7,4,103,3826,13,12,1,4.6
7,4,180,3857,13,13,1,2.266666667
7,4,97,3888,13,14,1,6.920862069
7,4,72,3919,13,15,1,2.483333333
7,4,179,3547,13,3,1,4.983333333
7,4,20,3578,13,4,1,4.55
7,4,101,3609,13,5,1,4.133333333
7,4,73,3640,13,6,1,2.216666667
7,4,51,3671,13,7,1,3.183333333
7,4,14,3702,13,8,1,3.333333333
7,4,169,3733,13,9,1,7.81532567
7,4,178,3765,14,10,1,6.379789272
7,4,82,3796,14,11,1,2.366666667
7,4,141,3827,14,12,1,2.533333333
7,4,113,3858,14,13,1,2.25
7,4,108,3889,14,14,1,2.183333333
7,4,75,3920,14,15,1,3.516666667
7,4,175,3548,14,3,1,4.716666667
7,4,173,3579,14,4,1,2.416666667
7,4,66,3610,14,5,1,6.498237548
7,4,145,3641,14,6,1,3.05
7,4,172,3672,14,7,1,5.033333333
7,4,174,3703,14,8,1,0.866666667
7,4,3,3734,14,9,1,3.316666667
7,4,44,3766,15,10,1,4.366666667
7,4,150,3797,15,11,1,3.55
7,4,161,3828,15,12,1,3.233333333
7,4,105,3859,15,13,1,3.25
7,4,74,3890,15,14,1,1.85
7,4,122,3921,15,15,1,3.35
7,4,115,3549,15,3,1,4.133333333
7,4,83,3580,15,4,1,1.983333333
7,4,99,3611,15,5,1,3.866666667
7,4,49,3642,15,6,1,1.916666667
7,4,179,3673,15,7,1,4.25
7,4,29,3704,15,8,1,4.733333333
7,4,127,3735,15,9,1,1.633333333
7,4,4,3767,16,10,1,5.116666667
7,4,129,3798,16,11,1,5.803754789
7,4,5,3829,16,12,1,3.966666667
7,4,86,3860,16,13,1,5.683908046
7,4,178,3891,16,14,1,2.783333333
7,4,67,3922,16,15,1,4.466666667
7,4,53,3550,16,3,1,2.55
7,4,178,3581,16,4,1,1.866666667
7,4,180,3612,16,5,1,3.183333333
7,4,104,3643,16,6,1,4.716666667
7,4,178,3674,16,7,1,4.033333333
7,4,176,3705,16,8,1,4.15
7,4,89,3736,16,9,1,4.583333333
7,4,8,3768,17,10,1,5.48045977
7,4,179,3799,17,11,1,3.15
7,4,154,3830,17,12,1,5.708448276
7,4,6,3861,17,13,1,2.366666667
7,4,28,3892,17,14,1,4.233333333
7,4,171,3923,17,15,1,2.016666667
7,4,36,3551,17,3,1,4.033333333
7,4,132,3582,17,4,1,4.4
7,4,18,3613,17,5,1,4.55
7,4,91,3644,17,6,1,6.41105364
7,4,70,3675,17,7,1,3.5
7,4,162,3706,17,8,1,4.7
7,4,110,3737,17,9,1,4.55
7,4,117,3769,18,10,1,3.3
7,4,81,3800,18,11,1,3.233333333
7,4,76,3831,18,12,1,4.2
7,4,43,3862,18,13,1,5.666666667
7,4,179,3893,18,14,1,2.216666667
7,4,130,3924,18,15,1,2.016666667
7,4,180,3552,18,3,2,4.483333333
7,4,81,3583,18,4,2,6
7,4,6,3614,18,5,2,1.333333333
7,4,69,3645,18,6,2,4.233333333
7,4,8,3676,18,7,2,4.9
7,4,180,3707,18,8,2,4.666666667
7,4,15,3738,18,9,1,1.183333333
7,4,166,3770,19,10,2,4.916666667
7,4,51,3801,19,11,2,3.333333333
7,4,26,3832,19,12,2,2.033333333
7,4,47,3863,19,13,2,6.879444444
7,4,121,3894,19,14,2,2.4
7,4,178,3925,19,15,2,4.616666667
7,4,49,3553,19,3,2,3
7,4,133,3584,19,4,2,3.333333333
7,4,178,3615,19,5,2,5.8
7,4,4,3646,19,6,2,4.516666667
7,4,66,3677,19,7,2,2.333333333
7,4,56,3708,19,8,2,2.216666667
7,4,128,3739,19,9,2,2.7
7,4,23,3771,20,10,2,3.5
7,4,78,3802,20,11,2,6.767739464
7,4,180,3833,20,12,2,3.033333333
7,4,178,3864,20,13,2,2.616666667
7,4,105,3895,20,14,2,5.283333333
7,4,127,3926,20,15,2,2.683333333
7,4,157,3554,20,3,2,3.1
7,4,159,3585,20,4,2,3.333333333
7,4,173,3616,20,5,2,2.55
7,4,57,3647,20,6,2,1.733333333
7,4,137,3678,20,7,2,6.140191571
7,4,20,3709,20,8,2,3.516666667
7,4,37,3740,20,9,2,3.583333333
7,4,70,3772,21,10,2,3.683333333
7,4,129,3803,21,11,2,2.15
7,4,15,3834,21,12,2,3.15
7,4,87,3865,21,13,2,3.633333333
7,4,117,3896,21,14,2,4.4
7,4,5,3927,21,15,2,2.3
7,4,172,3555,21,3,2,4.5
7,4,94,3586,21,4,2,6.345287356
7,4,135,3617,21,5,2,4.083333333
7,4,24,3648,21,6,2,2.733333333
7,4,61,3679,21,7,2,4.05
7,4,151,3710,21,8,2,3.016666667
7,4,180,3741,21,9,2,4.966666667
7,4,147,3773,22,10,2,4.4
7,4,86,3804,22,11,2,4.55
7,4,115,3835,22,12,2,2.65
7,4,11,3866,22,13,2,4
7,4,60,3897,22,14,2,5.116666667
7,4,100,3928,22,15,2,2.666666667
7,4,130,3556,22,3,2,4.05
7,4,97,3587,22,4,2,3.566666667
7,4,140,3618,22,5,2,1.916666667
7,4,178,3649,22,6,2,6.973582375
7,4,9,3680,22,7,2,5.332068966
7,4,32,3711,22,8,2,4.05
7,4,169,3742,22,9,2,7.404348659
7,4,92,3774,23,10,2,7.457854406
7,4,160,3805,23,11,2,6.758582375
7,4,59,3836,23,12,2,3.5
7,4,180,3867,23,13,2,5.25
7,4,131,3898,23,14,2,4.75
7,4,39,3929,23,15,2,3.166666667
7,4,178,3557,23,3,2,5.442145594
7,4,138,3588,23,4,2,0.95
7,4,146,3619,23,5,2,5.1
7,4,149,3650,23,6,2,5.46816092
7,4,13,3681,23,7,2,3.916666667
7,4,98,3712,23,8,2,1.6
7,4,96,3743,23,9,2,6.245977011
7,4,180,3775,24,10,2,4.616666667
7,4,16,3806,24,11,2,3
7,4,118,3837,24,12,2,3.2
7,4,106,3868,24,13,2,1.816666667
7,4,31,3899,24,14,2,3.516666667
7,4,43,3930,24,15,2,2.6
7,4,19,3558,24,3,2,2.483333333
7,4,170,3589,24,4,2,4.75
7,4,63,3620,24,5,2,2.533333333
7,4,152,3651,24,6,2,5.696954023
7,4,91,3682,24,7,2,4.733333333
7,4,175,3713,24,8,2,3.133333333
7,4,90,3744,24,9,2,5.4
7,4,74,3776,25,10,2,3
7,4,163,3807,25,11,2,1.533333333
7,4,164,3838,25,12,2,5.116666667
7,4,72,3869,25,13,2,2.666666667
7,4,158,3900,25,14,2,2.45
7,4,108,3931,25,15,2,3.383333333
7,4,148,3559,25,3,2,2.8
7,4,177,3590,25,4,2,4.283333333
7,4,2,3621,25,5,2,6.575766284
7,4,145,3652,25,6,2,7.075651341
7,4,179,3683,25,7,2,4.116666667
7,4,113,3714,25,8,2,4.566666667
7,4,62,3745,25,9,2,4.066666667
7,4,142,3777,26,10,2,2.1
7,4,93,3808,26,11,2,3.633333333
7,4,141,3839,26,12,2,2.633333333
7,4,1,3870,26,13,2,2.516666667
7,4,180,3901,26,14,2,4.733333333
7,4,54,3932,26,15,2,5.562452107
7,4,18,3560,26,3,2,6.335536398
7,4,180,3591,26,4,2,2.533333333
7,4,171,3622,26,5,2,4.533333333
7,4,38,3653,26,6,2,1.666666667
7,4,65,3684,26,7,2,3.766666667
7,4,34,3715,26,8,2,7.718390805
7,4,73,3746,26,9,2,2.683333333
7,4,165,3778,27,10,2,1.983333333
7,4,180,3809,27,11,2,6.252873563
7,4,25,3840,27,12,2,4.05
7,4,88,3871,27,13,2,5.15
7,4,48,3902,27,14,2,6.223812261
7,4,50,3933,27,15,2,3
7,4,27,3561,27,3,2,3.95
7,4,120,3592,27,4,2,3.133333333
7,4,167,3623,27,5,2,4.266666667
7,4,75,3654,27,6,2,5.892337165
7,4,30,3685,27,7,2,2.633333333
7,4,71,3716,27,8,2,3.666666667
7,4,95,3747,27,9,2,4.616666667
7,4,125,3779,28,10,2,3.666666667
7,4,29,3810,28,11,2,3.916666667
7,4,179,3841,28,12,2,3.416666667
7,4,101,3872,28,13,2,6.906130268
7,4,168,3903,28,14,2,3.133333333
7,4,103,3934,28,15,2,2.633333333
7,4,45,3562,28,3,2,7.808275862
7,4,161,3593,28,4,2,4.25
7,4,44,3624,28,5,2,3.733333333
7,4,46,3655,28,6,2,2.1
7,4,42,3686,28,7,2,4.066666667
7,4,179,3717,28,8,2,7.09183908
7,4,114,3748,28,9,2,6.761609195
7,4,14,3780,29,10,2,0.8
7,4,178,3811,29,11,2,3.15
7,4,84,3842,29,12,2,6.854137931
7,4,35,3873,29,13,2,4.416666667
7,4,40,3904,29,14,2,2.233333333
7,4,179,3935,29,15,2,2.633333333
7,4,76,3563,29,3,2,3.383333333
7,4,116,3594,29,4,2,7.468275862
7,4,179,3625,29,5,2,4.75
7,4,156,3656,29,6,2,5.144597701
7,4,112,3687,29,7,2,3.716666667
7,4,109,3718,29,8,2,5.895287356
7,4,80,3749,29,9,2,3.566666667
7,4,134,3754,3,10,1,3.35
7,4,60,3785,3,11,1,6.446072797
7,4,25,3816,3,12,1,4.6
7,4,179,3847,3,13,1,4.666666667
7,4,149,3878,3,14,1,5.362298851
7,4,177,3909,3,15,1,3.85
7,4,178,3537,3,3,1,3.466666667
7,4,106,3568,3,4,1,4.4
7,4,79,3599,3,5,1,6.202375479
7,4,59,3630,3,6,1,6.47137931
7,4,96,3661,3,7,1,4.216666667
7,4,78,3692,3,8,1,8.133333333
7,4,41,3723,3,9,1,4.083333333
7,4,77,3781,30,10,2,3.9
7,4,53,3812,30,11,2,3.85
7,4,178,3843,30,12,2,3.183333333
7,4,174,3874,30,13,2,6.041187739
7,4,132,3905,30,14,2,3.883333333
7,4,153,3936,30,15,2,4.416666667
7,4,144,3564,30,3,2,2.483333333
7,4,7,3595,30,4,2,5.867796935
7,4,99,3626,30,5,2,3.1
7,4,155,3657,30,6,2,4.95
7,4,10,3688,30,7,2,2.4
7,4,162,3719,30,8,2,5.466666667
7,4,22,3750,30,9,2,3.366666667
7,4,85,3782,31,10,2,8.59532567
7,4,150,3813,31,11,2,6.573563218
7,4,139,3844,31,12,2,2.416666667
7,4,119,3875,31,13,2,8.148467433
7,4,64,3906,31,14,2,3.483333333
7,4,41,3937,31,15,2,4.35
7,4,67,3565,31,3,2,3.916666667
7,4,143,3596,31,4,2,2.016666667
7,4,104,3627,31,5,2,5.383333333
7,4,107,3658,31,6,2,4.65
7,4,55,3689,31,7,2,3.65
7,4,110,3720,31,8,2,6.141091954
7,4,178,3751,31,9,2,7.784501916
7,4,33,3783,32,10,2,3.566666667
7,4,3,3814,32,11,2,2.083333333
7,4,52,3845,32,12,2,5.116666667
7,4,126,3876,32,13,2,3.866666667
7,4,17,3907,32,14,2,2.716666667
7,4,122,3938,32,15,2,6.020114943
7,4,79,3566,32,3,2,6.603448276
7,4,134,3597,32,4,2,4.633333333
7,4,28,3628,32,5,2,7.956149425
7,4,179,3659,32,6,2,7.577375479
7,4,136,3690,32,7,2,4.483333333
7,4,68,3721,32,8,2,6.000957854
7,4,89,3752,32,9,2,5.55
7,4,36,3784,33,10,2,6.353103448
7,4,154,3815,33,11,2,3.483333333
7,4,83,3846,33,12,2,3.933333333
7,4,179,3877,33,13,2,2.55
7,4,111,3908,33,14,2,3.583333333
7,4,123,3939,33,15,2,5.777931034
7,4,179,3567,33,3,2,4.3
7,4,12,3598,33,4,2,3.566666667
7,4,176,3629,33,5,2,3.4
7,4,102,3660,33,6,2,5.470689655
7,4,82,3691,33,7,2,5.341954023
7,4,58,3722,33,8,2,4.433333333
7,4,21,3753,33,9,2,5.166666667
7,4,179,3755,4,10,1,5.133333333
7,4,138,3786,4,11,1,4.466666667
7,4,137,3817,4,12,1,7.525632184
7,4,56,3848,4,13,1,2.333333333
7,4,170,3879,4,14,1,2.866666667
7,4,126,3910,4,15,1,3.766666667
7,4,167,3538,4,3,1,1.35
7,4,65,3569,4,4,1,4.433333333
7,4,9,3600,4,5,1,3.266666667
7,4,1,3631,4,6,1,4.066666667
7,4,180,3662,4,7,1,3.966666667
7,4,128,3693,4,8,1,3.983333333
7,4,7,3724,4,9,1,0.816666667
7,4,57,3756,5,10,1,1.533333333
7,4,85,3787,5,11,1,5.632183908
7,4,50,3818,5,12,1,2.683333333
7,4,48,3849,5,13,1,4.266666667
7,4,155,3880,5,14,1,1.816666667
7,4,147,3911,5,15,1,1.45
7,4,30,3539,5,3,1,3.55
7,4,133,3570,5,4,1,5.98137931
7,4,139,3601,5,5,1,7.056992337
7,4,46,3632,5,6,1,6.496398467
7,4,178,3663,5,7,1,5.083333333
7,4,125,3694,5,8,1,5.216666667
7,4,52,3725,5,9,1,5.960613027
