"occurrence","plot_number","replicate","entry_id","field_row","field_col"
"1",11,"1",15,1,1
"1",12,"1",10,2,1
"1",13,"1",2,2,2
"1",14,"1",6,1,2
"1",15,"1",7,1,3
"1",16,"1",8,2,3
"1",21,"2",1,3,1
"1",22,"2",6,4,1
"1",23,"2",12,4,2
"1",24,"2",10,3,2
"1",25,"2",2,3,3
"1",26,"2",4,4,3
"1",31,"3",13,5,1
"1",32,"3",11,6,1
"1",33,"3",2,6,2
"1",34,"3",6,5,2
"1",35,"3",10,5,3
"1",36,"3",3,6,3
"1",41,"4",5,7,1
"1",42,"4",14,8,1
"1",43,"4",9,8,2
"1",44,"4",2,7,2
"1",45,"4",6,7,3
"1",46,"4",10,8,3
"2",11,"1",15,1,1
"2",12,"1",1,2,1
"2",13,"1",10,2,2
"2",14,"1",6,1,2
"2",15,"1",9,1,3
"2",16,"1",2,2,3
"2",21,"2",6,3,1
"2",22,"2",10,4,1
"2",23,"2",14,4,2
"2",24,"2",5,3,2
"2",25,"2",7,3,3
"2",26,"2",2,4,3
"2",31,"3",6,5,1
"2",32,"3",13,6,1
"2",33,"3",10,6,2
"2",34,"3",2,5,2
"2",35,"3",8,5,3
"2",36,"3",4,6,3
"2",41,"4",11,7,1
"2",42,"4",10,8,1
"2",43,"4",2,8,2
"2",44,"4",12,7,2
"2",45,"4",6,7,3
"2",46,"4",3,8,3
"3",11,"1",2,1,1
"3",12,"1",6,2,1
"3",13,"1",5,2,2
"3",14,"1",10,1,2
"3",15,"1",9,1,3
"3",16,"1",7,2,3
"3",21,"2",6,3,1
"3",22,"2",15,4,1
"3",23,"2",10,4,2
"3",24,"2",14,3,2
"3",25,"2",8,3,3
"3",26,"2",2,4,3
"3",31,"3",1,5,1
"3",32,"3",6,6,1
"3",33,"3",12,6,2
"3",34,"3",10,5,2
"3",35,"3",2,5,3
"3",36,"3",4,6,3
"3",41,"4",13,7,1
"3",42,"4",11,8,1
"3",43,"4",2,8,2
"3",44,"4",6,7,2
"3",45,"4",3,7,3
"3",46,"4",10,8,3
