occurrence,plot_number,replicate,entry_id,field_row,field_col
1,101,1,2,1,1
1,102,1,6,2,1
1,103,1,9,1,2
1,104,1,7,2,2
1,105,1,8,1,3
1,106,1,3,2,3
1,107,1,4,1,4
1,108,1,10,2,4
1,109,1,1,1,5
1,110,1,5,2,5
1,201,2,4,3,1
1,202,2,5,4,1
1,203,2,7,3,2
1,204,2,8,4,2
1,205,2,1,3,3
1,206,2,9,4,3
1,207,2,6,3,4
1,208,2,3,4,4
1,209,2,10,3,5
1,210,2,2,4,5
1,301,3,3,5,1
1,302,3,9,6,1
1,303,3,6,5,2
1,304,3,5,6,2
1,305,3,7,5,3
1,306,3,8,6,3
1,307,3,2,5,4
1,308,3,10,6,4
1,309,3,1,5,5
1,310,3,4,6,5
1,401,4,8,7,1
1,402,4,5,8,1
1,403,4,4,7,2
1,404,4,9,8,2
1,405,4,3,7,3
1,406,4,10,8,3
1,407,4,6,7,4
1,408,4,2,8,4
1,409,4,1,7,5
1,410,4,7,8,5
2,101,1,6,1,1
2,102,1,3,2,1
2,103,1,8,1,2
2,104,1,10,2,2
2,105,1,9,1,3
2,106,1,7,2,3
2,107,1,2,1,4
2,108,1,4,2,4
2,109,1,5,1,5
2,110,1,1,2,5
2,201,2,4,3,1
2,202,2,5,4,1
2,203,2,2,3,2
2,204,2,10,4,2
2,205,2,6,3,3
2,206,2,3,4,3
2,207,2,8,3,4
2,208,2,1,4,4
2,209,2,7,3,5
2,210,2,9,4,5
2,301,3,1,5,1
2,302,3,6,6,1
2,303,3,3,5,2
2,304,3,5,6,2
2,305,3,9,5,3
2,306,3,7,6,3
2,307,3,10,5,4
2,308,3,2,6,4
2,309,3,8,5,5
2,310,3,4,6,5
2,401,4,3,7,1
2,402,4,5,8,1
2,403,4,1,7,2
2,404,4,2,8,2
2,405,4,6,7,3
2,406,4,7,8,3
2,407,4,8,7,4
2,408,4,9,8,4
2,409,4,4,7,5
2,410,4,10,8,5
3,101,1,8,1,1
3,102,1,6,2,1
3,103,1,3,1,2
3,104,1,4,2,2
3,105,1,5,1,3
3,106,1,10,2,3
3,107,1,2,1,4
3,108,1,1,2,4
3,109,1,9,1,5
3,110,1,7,2,5
3,201,2,1,3,1
3,202,2,9,4,1
3,203,2,2,3,2
3,204,2,10,4,2
3,205,2,5,3,3
3,206,2,4,4,3
3,207,2,6,3,4
3,208,2,8,4,4
3,209,2,7,3,5
3,210,2,3,4,5
3,301,3,4,5,1
3,302,3,6,6,1
3,303,3,10,5,2
3,304,3,7,6,2
3,305,3,3,5,3
3,306,3,5,6,3
3,307,3,2,5,4
3,308,3,8,6,4
3,309,3,1,5,5
3,310,3,9,6,5
3,401,4,5,7,1
3,402,4,7,8,1
3,403,4,2,7,2
3,404,4,6,8,2
3,405,4,3,7,3
3,406,4,10,8,3
3,407,4,4,7,4
3,408,4,9,8,4
3,409,4,8,7,5
3,410,4,1,8,5
