"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_d"
2279,1,"IR19W179","test","test","","active",393757998
995,2,"IR19J195","test","performance check","","active",342687108
1452,3,"IR19O152","test","test","","active",307921708
1927,4,"IR19T127","test","test","","active",322616321
1631,5,"IR19Q131","test","test","","active",398290797
983,6,"IR19J183","test","test","","active",381626683
2167,7,"IR19V167","test","test","","active",383619495
1262,8,"IR19M162","test","test","","active",334542058
1011,9,"IR19K111","test","test","","active",340867888
673,10,"IR19G173","test","test","","active",343018513
