"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_id"
1,1,"IR19I179","test","test",NA,"active",365748317
2,2,"IR19G169","test","test",NA,"active",316010573
3,3,"IR19N114","test","test",NA,"active",341149585
4,4,"IR19C112","test","test",NA,"active",329894790
5,5,"IR19W138","test","test",NA,"active",349657607
6,6,"IR19U185","test","test",NA,"active",319110758
7,7,"IR19E112","test","test",NA,"active",301590712
8,8,"IR19Y101","test","test",NA,"active",383486609
9,9,"IR19I159","test","test",NA,"active",360259236
10,10,"IR19L163","test","performance check",NA,"active",377475483
11,11,"IR19G140","test","test",NA,"active",399567400
12,12,"IR19K119","test","test",NA,"active",398304477
