"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_d"
987,1,"IR19J187","test","test","","active",315618227
92,2,"IR19A192","test","test","","active",331069274
2235,3,"IR19W135","test","test","","active",341439644
1963,4,"IR19T163","test","test","","active",331556075
245,5,"IR19C145","test","test","","active",362568807
2056,6,"IR19U156","check","test","","active",315806401
2404,7,"IR19Y104","test","performance check","","active",378778490
1717,8,"IR19R117","test","test","","active",303126779
2106,9,"IR19V106","test","test","","active",349141721
2190,10,"IR19V190","test","test","","active",373683635
2353,11,"IR19X153","test","test","","active",362460765
2209,12,"IR19W109","check","test","","active",300337766
2258,13,"IR19W158","test","test","","active",352067482
1,14,"IR19A101","check","test","","active",335636278
625,15,"IR19G125","test","performance check","","active",376164665
