"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_d"
37,1,"IR19A137","test","test","","active",303660335
585,2,"IR19F185","test","test","","active",387092619
933,3,"IR19J133","test","test","","active",312712932
93,4,"IR19A193","test","test","","active",322624756
1920,5,"IR19T120","test","test","","active",379999352
1546,6,"IR19P146","test","test","","active",372082469
1704,7,"IR19R104","test","test","","active",362463352
658,8,"IR19G158","test","performance check","","active",356462417
185,9,"IR19B185","test","test","","active",346092993
72,10,"IR19A172","test","test","","active",350967749
1485,11,"IR19O185","test","test","","active",384531253
1672,12,"IR19Q172","test","test","","active",380347227
