loc,expt,entry,plot,col,row,rep,plantHeight
7,4,33,3761,10,10,1,205
7,4,32,3792,10,11,1,195
7,4,178,3823,10,12,1,200
7,4,39,3854,10,13,1,195
7,4,119,3885,10,14,1,180
7,4,27,3916,10,15,1,180
7,4,120,3544,10,3,1,195
7,4,159,3575,10,4,1,205
7,4,87,3606,10,5,1,195
7,4,123,3637,10,6,1,205
7,4,19,3668,10,7,1,190
7,4,93,3699,10,8,1,210
7,4,95,3730,10,9,1,200
7,4,88,3762,11,10,1,210
7,4,55,3793,11,11,1,200
7,4,163,3824,11,12,1,185
7,4,164,3855,11,13,1,190
7,4,153,3886,11,14,1,190
7,4,160,3917,11,15,1,175
7,4,114,3545,11,3,1,195
7,4,118,3576,11,4,1,205
7,4,64,3607,11,5,1,215
7,4,35,3638,11,6,1,200
7,4,22,3669,11,7,1,195
7,4,94,3700,11,8,1,200
7,4,179,3731,11,9,1,210
7,4,77,3763,12,10,1,170
7,4,152,3794,12,11,1,190
7,4,146,3825,12,12,1,200
7,4,13,3856,12,13,1,185
7,4,61,3887,12,14,1,200
7,4,71,3918,12,15,1,175
7,4,10,3546,12,3,1,175
7,4,58,3577,12,4,1,185
7,4,142,3608,12,5,1,185
7,4,180,3639,12,6,1,210
7,4,109,3670,12,7,1,185
7,4,116,3701,12,8,1,195
7,4,92,3732,12,9,1,175
7,4,100,3764,13,10,1,205
7,4,68,3795,13,11,1,205
7,4,103,3826,13,12,1,200
7,4,180,3857,13,13,1,200
7,4,97,3888,13,14,1,190
7,4,72,3919,13,15,1,195
7,4,179,3547,13,3,1,170
7,4,20,3578,13,4,1,165
7,4,101,3609,13,5,1,195
7,4,73,3640,13,6,1,190
7,4,51,3671,13,7,1,195
7,4,14,3702,13,8,1,205
7,4,169,3733,13,9,1,200
7,4,178,3765,14,10,1,185
7,4,82,3796,14,11,1,165
7,4,141,3827,14,12,1,180
7,4,113,3858,14,13,1,145
7,4,108,3889,14,14,1,160
7,4,75,3920,14,15,1,155
7,4,175,3548,14,3,1,165
7,4,173,3579,14,4,1,165
7,4,66,3610,14,5,1,170
7,4,145,3641,14,6,1,175
7,4,172,3672,14,7,1,180
7,4,174,3703,14,8,1,170
7,4,3,3734,14,9,1,165
7,4,44,3766,15,10,1,205
7,4,150,3797,15,11,1,195
7,4,161,3828,15,12,1,200
7,4,105,3859,15,13,1,185
7,4,74,3890,15,14,1,205
7,4,122,3921,15,15,1,190
7,4,115,3549,15,3,1,185
7,4,83,3580,15,4,1,190
7,4,99,3611,15,5,1,200
7,4,49,3642,15,6,1,185
7,4,179,3673,15,7,1,205
7,4,29,3704,15,8,1,200
7,4,127,3735,15,9,1,205
7,4,4,3767,16,10,1,180
7,4,129,3798,16,11,1,195
7,4,5,3829,16,12,1,185
7,4,86,3860,16,13,1,200
7,4,178,3891,16,14,1,195
7,4,67,3922,16,15,1,210
7,4,53,3550,16,3,1,175
7,4,178,3581,16,4,1,190
7,4,180,3612,16,5,1,215
7,4,104,3643,16,6,1,185
7,4,178,3674,16,7,1,195
7,4,176,3705,16,8,1,180
7,4,89,3736,16,9,1,195
7,4,8,3768,17,10,1,200
7,4,179,3799,17,11,1,225
7,4,154,3830,17,12,1,205
7,4,6,3861,17,13,1,215
7,4,28,3892,17,14,1,185
7,4,171,3923,17,15,1,195
7,4,36,3551,17,3,1,180
7,4,132,3582,17,4,1,195
7,4,18,3613,17,5,1,205
7,4,91,3644,17,6,1,200
7,4,70,3675,17,7,1,205
7,4,162,3706,17,8,1,200
7,4,110,3737,17,9,1,215
7,4,117,3769,18,10,1,220
7,4,81,3800,18,11,1,215
7,4,76,3831,18,12,1,215
7,4,43,3862,18,13,1,190
7,4,179,3893,18,14,1,220
7,4,130,3924,18,15,1,180
7,4,180,3552,18,3,2,190
7,4,81,3583,18,4,2,210
7,4,6,3614,18,5,2,215
7,4,69,3645,18,6,2,200
7,4,8,3676,18,7,2,200
7,4,180,3707,18,8,2,198
7,4,15,3738,18,9,1,195
7,4,166,3770,19,10,2,195
7,4,51,3801,19,11,2,195
7,4,26,3832,19,12,2,195
7,4,47,3863,19,13,2,190
7,4,121,3894,19,14,2,210
7,4,178,3925,19,15,2,210
7,4,49,3553,19,3,2,185
7,4,133,3584,19,4,2,195
7,4,178,3615,19,5,2,210
7,4,4,3646,19,6,2,205
7,4,66,3677,19,7,2,205
7,4,56,3708,19,8,2,210
7,4,128,3739,19,9,2,215
7,4,23,3771,20,10,2,195
7,4,78,3802,20,11,2,210
7,4,180,3833,20,12,2,190
