loc,expt,entry,plot,col,row,rep,yield
6,4,59,2991,12,10,1,7.240655172
6,4,153,3006,12,11,1,7.827226054
6,4,179,3021,12,12,1,6.018733716
6,4,150,3036,12,13,1,7.034950192
6,4,169,3051,12,14,1,5.959126437
6,4,172,3066,12,15,1,NA
6,4,159,3081,12,16,1,5.816091954
6,4,132,3096,12,17,1,6.996247126
6,4,61,3111,12,18,1,8.140375479
6,4,179,3126,12,19,2,4.706436782
6,4,165,3141,12,20,2,5.506398467
6,4,25,3156,12,21,2,5.178831418
6,4,74,3171,12,22,2,5.522758621
6,4,9,3186,12,23,2,6.483601533
6,4,177,3201,12,24,2,5.609515326
6,4,164,3216,12,25,2,4.306927203
6,4,180,3231,12,26,2,5.518812261
6,4,159,3246,12,27,2,7.181563218
6,4,79,3261,12,28,2,6.021166667
6,4,67,3276,12,29,2,5.001494253
6,4,117,3291,12,30,2,5.005001916
6,4,176,3306,12,31,2,6.057195402
6,4,137,3321,12,32,2,7.317808429
6,4,178,2916,12,5,1,6.801103448
6,4,33,2931,12,6,1,6.171563218
6,4,177,2946,12,7,1,7.981321839
6,4,174,2961,12,8,1,6.70801341
6,4,166,2976,12,9,1,5.644168582
6,4,157,2992,13,10,1,7.071505747
6,4,69,3007,13,11,1,8.413984674
6,4,80,3022,13,12,1,6.978522989
6,4,77,3037,13,13,1,6.819923372
6,4,102,3052,13,14,1,7.789854406
6,4,34,3067,13,15,1,4.059812261
6,4,179,3082,13,16,1,6.204072797
6,4,78,3097,13,17,1,7.296241379
6,4,15,3112,13,18,1,6.653218391
6,4,24,3127,13,19,2,3.689758621
6,4,126,3142,13,20,2,4.834111111
6,4,15,3157,13,21,2,7.750153257
6,4,30,3172,13,22,2,8.017787356
6,4,180,3187,13,23,2,5.934036398
6,4,155,3202,13,24,2,9.932011494
6,4,86,3217,13,25,2,7.368869732
6,4,8,3232,13,26,2,5.890444444
6,4,150,3247,13,27,2,7.12085249
6,4,35,3262,13,28,2,7.639758621
6,4,6,3277,13,29,2,8.441208812
6,4,178,3292,13,30,2,6.41262069
6,4,90,3307,13,31,2,4.334574713
6,4,10,3322,13,32,2,3.577034483
6,4,46,2917,13,5,1,8.494448276
6,4,29,2932,13,6,1,7.113425287
6,4,7,2947,13,7,1,5.319463602
6,4,86,2962,13,8,1,5.548086207
6,4,178,2977,13,9,1,8.371980843
6,4,137,2993,14,10,1,5.624808429
6,4,127,3008,14,11,1,5.596260536
6,4,98,3023,14,12,1,6.316609195
6,4,179,3038,14,13,1,7.676775862
6,4,32,3053,14,14,1,6.949808429
6,4,21,3068,14,15,1,7.637413793
6,4,57,3083,14,16,1,6.053793103
6,4,87,3098,14,17,1,8.803590038
6,4,1,3113,14,18,1,7.03554023
6,4,80,3128,14,19,2,6.006203065
6,4,180,3143,14,20,2,6.369051724
6,4,175,3158,14,21,2,6.071977011
6,4,133,3173,14,22,2,8.119992337
6,4,171,3188,14,23,2,5.617429119
6,4,130,3203,14,24,2,5.412258621
6,4,176,3218,14,25,2,7.323390805
6,4,105,3233,14,26,2,6.994636015
6,4,178,3248,14,27,2,7.927471264
6,4,83,3263,14,28,2,6.943444444
6,4,66,3278,14,29,2,5.910609195
6,4,142,3293,14,30,2,6.588413793
6,4,70,3308,14,31,2,7.656377395
6,4,43,3323,14,32,2,6.643827586
6,4,8,2918,14,5,1,5.374065134
6,4,179,2933,14,6,1,7.587344828
6,4,118,2948,14,7,1,5.235747126
6,4,173,2963,14,8,1,6.918875479
6,4,156,2978,14,9,1,6.367816092
6,4,179,2994,15,10,1,6.055982759
6,4,152,3009,15,11,1,6.777030651
6,4,160,3024,15,12,1,5.997844828
6,4,13,3039,15,13,1,6.5348659
6,4,168,3054,15,14,1,5.46043295
6,4,117,3069,15,15,1,6.872881226
6,4,71,3084,15,16,1,7.762992337
6,4,178,3099,15,17,1,7.691800766
6,4,135,3114,15,18,1,7.069122605
6,4,116,3129,15,19,2,6.510704981
6,4,147,3144,15,20,2,6.088333333
6,4,81,3159,15,21,2,7.686785441
6,4,49,3174,15,22,2,5.836157088
6,4,36,3189,15,23,2,8.225854406
6,4,180,3204,15,24,2,8.682517241
6,4,21,3219,15,25,2,6.415241379
6,4,163,3234,15,26,2,7.592183908
6,4,122,3249,15,27,2,5.898007663
6,4,42,3264,15,28,2,8.148896552
6,4,38,3279,15,29,2,4.762643678
6,4,167,3294,15,30,2,4.990528736
6,4,179,3309,15,31,2,7.523800766
6,4,46,3324,15,32,2,6.821628352
6,4,76,2919,15,5,1,6.570206897
6,4,176,2934,15,6,1,7.063388889
6,4,167,2949,15,7,1,2.467637931
6,4,92,2964,15,8,1,8.138704981
6,4,64,2979,15,9,1,6.160298851
