"STUDY","DESIGN","LOC","GEN","REP","BLOCK","GYPH","ROW","COLUMN","FIELDROW","FIELDCOLUMN"
"Study1","Alpha-Lattice",1,7,1,1,5.39,1,1,1,1
"Study1","Alpha-Lattice",1,15,1,1,4.12,2,1,2,1
"Study1","Alpha-Lattice",1,23,1,1,5.38,3,1,3,1
"Study1","Alpha-Lattice",1,34,1,1,5,4,1,4,1
"Study1","Alpha-Lattice",1,38,1,1,4.9,5,1,5,1
"Study1","Alpha-Lattice",1,43,1,1,4.69,6,1,6,1
"Study1","Alpha-Lattice",1,47,1,1,5.96,7,1,7,1
"Study1","Alpha-Lattice",1,54,1,1,4.81,8,1,8,1
"Study1","Alpha-Lattice",1,55,1,1,5.27,9,1,9,1
"Study1","Alpha-Lattice",1,59,1,1,3.6,10,1,10,1
"Study1","Alpha-Lattice",1,3,1,2,4.35,1,2,1,2
"Study1","Alpha-Lattice",1,6,1,2,4.75,2,2,2,2
"Study1","Alpha-Lattice",1,9,1,2,5.11,3,2,3,2
"Study1","Alpha-Lattice",1,24,1,2,5.15,4,2,4,2
"Study1","Alpha-Lattice",1,41,1,2,5.81,5,2,5,2
"Study1","Alpha-Lattice",1,42,1,2,5.68,6,2,6,2
"Study1","Alpha-Lattice",1,46,1,2,4.68,7,2,7,2
"Study1","Alpha-Lattice",1,50,1,2,4.55,8,2,8,2
"Study1","Alpha-Lattice",1,51,1,2,4.65,9,2,9,2
"Study1","Alpha-Lattice",1,58,1,2,4.49,10,2,10,2
"Study1","Alpha-Lattice",1,1,1,3,5.24,1,3,1,3
"Study1","Alpha-Lattice",1,13,1,3,5.03,2,3,2,3
"Study1","Alpha-Lattice",1,14,1,3,4.79,3,3,3,3
"Study1","Alpha-Lattice",1,16,1,3,4.74,4,3,4,3
"Study1","Alpha-Lattice",1,21,1,3,3.97,5,3,5,3
"Study1","Alpha-Lattice",1,26,1,3,4.72,6,3,6,3
"Study1","Alpha-Lattice",1,37,1,3,3.52,7,3,7,3
"Study1","Alpha-Lattice",1,39,1,3,4.24,8,3,8,3
"Study1","Alpha-Lattice",1,40,1,3,3.7,9,3,9,3
"Study1","Alpha-Lattice",1,53,1,3,4.51,10,3,10,3
"Study1","Alpha-Lattice",1,60,1,4,5.25,1,4,1,4
"Study1","Alpha-Lattice",1,2,1,4,4.8,2,4,2,4
"Study1","Alpha-Lattice",1,5,1,4,3.76,3,4,3,4
"Study1","Alpha-Lattice",1,8,1,4,4,4,4,4,4
"Study1","Alpha-Lattice",1,10,1,4,4.34,5,4,5,4
"Study1","Alpha-Lattice",1,12,1,4,4.71,6,4,6,4
"Study1","Alpha-Lattice",1,27,1,4,4.52,7,4,7,4
"Study1","Alpha-Lattice",1,35,1,4,5.66,8,4,8,4
"Study1","Alpha-Lattice",1,36,1,4,3.91,9,4,9,4
"Study1","Alpha-Lattice",1,52,1,4,4.49,10,4,10,4
"Study1","Alpha-Lattice",1,57,1,5,4.86,1,5,1,5
"Study1","Alpha-Lattice",1,4,1,5,5.18,2,5,2,5
"Study1","Alpha-Lattice",1,17,1,5,3.36,3,5,3,5
"Study1","Alpha-Lattice",1,22,1,5,4.14,4,5,4,5
"Study1","Alpha-Lattice",1,25,1,5,5.14,5,5,5,5
"Study1","Alpha-Lattice",1,28,1,5,4.67,6,5,6,5
"Study1","Alpha-Lattice",1,30,1,5,4.11,7,5,7,5
"Study1","Alpha-Lattice",1,32,1,5,4.44,8,5,8,5
"Study1","Alpha-Lattice",1,48,1,5,5.32,9,5,9,5
"Study1","Alpha-Lattice",1,56,1,5,4.25,10,5,10,5
"Study1","Alpha-Lattice",1,11,1,6,5.21,1,6,1,6
"Study1","Alpha-Lattice",1,18,1,6,4.42,2,6,2,6
"Study1","Alpha-Lattice",1,19,1,6,4.49,3,6,3,6
"Study1","Alpha-Lattice",1,20,1,6,5.34,4,6,4,6
"Study1","Alpha-Lattice",1,29,1,6,4.82,5,6,5,6
"Study1","Alpha-Lattice",1,31,1,6,4.68,6,6,6,6
"Study1","Alpha-Lattice",1,33,1,6,4.49,7,6,7,6
"Study1","Alpha-Lattice",1,44,1,6,5,8,6,8,6
"Study1","Alpha-Lattice",1,45,1,6,5.85,9,6,9,6
"Study1","Alpha-Lattice",1,49,1,6,5.65,10,6,10,6
"Study1","Alpha-Lattice",1,57,2,1,5.1,1,1,1,7
"Study1","Alpha-Lattice",1,60,2,1,5.26,2,1,2,7
"Study1","Alpha-Lattice",1,2,2,1,5.11,3,1,3,7
"Study1","Alpha-Lattice",1,20,2,1,5.58,4,1,4,7
"Study1","Alpha-Lattice",1,21,2,1,4.24,5,1,5,7
"Study1","Alpha-Lattice",1,24,2,1,5.03,6,1,6,7
"Study1","Alpha-Lattice",1,37,2,1,4.82,7,1,7,7
"Study1","Alpha-Lattice",1,42,2,1,4.83,8,1,8,7
"Study1","Alpha-Lattice",1,47,2,1,4.89,9,1,9,7
"Study1","Alpha-Lattice",1,58,2,1,4.79,10,1,10,7
"Study1","Alpha-Lattice",1,11,2,2,5.02,1,2,1,8
"Study1","Alpha-Lattice",1,26,2,2,4.96,2,2,2,8
"Study1","Alpha-Lattice",1,28,2,2,5.15,3,2,3,8
"Study1","Alpha-Lattice",1,30,2,2,4.78,4,2,4,8
"Study1","Alpha-Lattice",1,38,2,2,5.04,5,2,5,8
"Study1","Alpha-Lattice",1,39,2,2,4.55,6,2,6,8
"Study1","Alpha-Lattice",1,46,2,2,5.46,7,2,7,8
"Study1","Alpha-Lattice",1,48,2,2,6.13,8,2,8,8
"Study1","Alpha-Lattice",1,50,2,2,6.13,9,2,9,8
"Study1","Alpha-Lattice",1,55,2,2,4.52,10,2,10,8
"Study1","Alpha-Lattice",1,1,2,3,5.17,1,3,1,9
"Study1","Alpha-Lattice",1,3,2,3,4.72,2,3,2,9
"Study1","Alpha-Lattice",1,8,2,3,4.38,3,3,3,9
"Study1","Alpha-Lattice",1,18,2,3,4.02,4,3,4,9
"Study1","Alpha-Lattice",1,25,2,3,4.46,5,3,5,9
"Study1","Alpha-Lattice",1,33,2,3,4.3,6,3,6,9
"Study1","Alpha-Lattice",1,36,2,3,5.3,7,3,7,9
"Study1","Alpha-Lattice",1,51,2,3,4.1,8,3,8,9
"Study1","Alpha-Lattice",1,56,2,3,4.56,9,3,9,9
"Study1","Alpha-Lattice",1,59,2,3,4.74,10,3,10,9
"Study1","Alpha-Lattice",1,4,2,4,4.73,1,4,1,10
"Study1","Alpha-Lattice",1,13,2,4,4.39,2,4,2,10
