,Trait,study,mgid,Designations,predicted.value,std.error,Reliability
1,GYKGPHA,IRRIHQ_2018DS,300224366,IR16L1478,8660.482044,766.3421727,0.458402633
2,GYKGPHA,IRRIHQ_2018DS,4027372,IR14L253,11906.50933,734.7231816,0.504181746
3,GYKGPHA,IRRIHQ_2018DS,999446,NSIC RC 190,7749.952156,787.3528665,0.404293568
4,GYKGPHA,IRRIHQ_2018DS,300100050,IR103412-B-B-1-2,7653.567201,743.3717657,0.490756518
5,GYKGPHA,IRRIHQ_2018DS,300718862,IR118171-B-22-3-1-4,7771.803079,727.3665116,0.514334722
6,GYKGPHA,IRRIHQ_2018DS,2254836,SAMBHA MAHSURI-SUB1,6524.4131,483.8433664,0.782550731
7,GYKGPHA,IRRIHQ_2018DS,123287,TDK 1,7295.202385,546.0182792,0.725098512
8,GYKGPHA,IRRIHQ_2018DS,2876274,IR86781-3-3-1-1,8253.664066,779.4687108,0.439368775
9,GYKGPHA,IRRIHQ_2018DS,2642849,IR09M120,7934.609891,755.2156812,0.473713891
10,GYKGPHA,IRRIHQ_2018DS,3426240,IR12A229,8422.279902,756.6549804,0.471705974
11,GYKGPHA,IRRIHQ_2018DS,300162945,IR13F474,7539.967165,787.7047732,0.432799468
12,GYKGPHA,IRRIHQ_2018DS,4453593,IR100632-37-AJY 3-CMU 1,7506.869734,695.1755228,0.550734338
13,GYKGPHA,IRRIHQ_2018DS,2972309,IR11A297,8194.027659,716.8259189,0.527218246
14,GYKGPHA,IRRIHQ_2018DS,300133147,IR15T1330,7831.839737,774.2144104,0.447176787
15,GYKGPHA,IRRIHQ_2018DS,82290,RC 18,9934.195147,550.1336631,0.723424589
16,GYKGPHA,IRRIHQ_2018DS,2819750,NSIC 2016 RC 466,7554.317095,756.1604062,0.476774249
17,GYKGPHA,IRRIHQ_2018DS,3041036,IR86385-80-1-2-B,7734.658242,624.4938861,0.640646167
18,GYKGPHA,IRRIHQ_2018DS,300038744,IR99982-B-B-B-B-1,8155.346564,723.7704438,0.518140922
19,GYKGPHA,IRRIHQ_2018DS,3945606,IR14L144,8063.218371,762.8374025,0.463549082
20,GYKGPHA,IRRIHQ_2018DS,63333,IR68,7746.468096,758.5421207,0.463193809
21,GYKGPHA,IRRIHQ_2018DS,4226358,IR110615-C1-B-B-B-1-1,7447.383757,789.8962286,0.428882837
22,GYKGPHA,IRRIHQ_2018DS,2781606,BRRI dhan 53,7768.537625,782.0660386,0.430550207
23,GYKGPHA,IRRIHQ_2018DS,300437498,IR16F1181,7738.861188,782.4405694,0.439762758
24,GYKGPHA,IRRIHQ_2018DS,4453460,IR100701-AJY 24-AJY 1-CMU 1,7250.152659,728.641754,0.503782461
25,GYKGPHA,IRRIHQ_2018DS,300100153,IR103421-B-B-5-3,7775.478065,760.3635047,0.466980896
26,GYKGPHA,IRRIHQ_2018DS,1253957,IR04A429,8478.382982,718.254449,0.519269149
27,GYKGPHA,IRRIHQ_2018DS,2847870,Ciherang-Sub1,6901.45762,444.0732064,0.815850628
28,GYKGPHA,IRRIHQ_2018DS,300437414,IR16F1097,7956.264931,758.4676352,0.473650839
29,GYKGPHA,IRRIHQ_2018DS,300160232,IR15L1564,7097.49185,648.2257041,0.612445508
30,GYKGPHA,IRRIHQ_2018DS,4028465,IR14L261,6159.850432,778.7877509,0.440731933
31,GYKGPHA,IRRIHQ_2018DS,300172497,IR101840-1-1-11-2-1,7255.063443,696.4412922,0.558816152
32,GYKGPHA,IRRIHQ_2018DS,1162264,SAMBHA MAHSURI,6525.198888,471.5359319,0.784573665
33,GYKGPHA,IRRIHQ_2018DS,2159583,IR64-SUB1,6853.367399,458.8921576,0.802690991
34,GYKGPHA,IRRIHQ_2018DS,300134004,IR15T1469,7979.834095,782.4084974,0.435606504
35,GYKGPHA,IRRIHQ_2018DS,4229118,IR14A185,7748.384509,711.5492799,0.532166799
36,GYKGPHA,IRRIHQ_2018DS,2348720,IR08A176,7812.035305,741.5715672,0.494310084
37,GYKGPHA,IRRIHQ_2018DS,4443835,IR15L1008,7942.184679,755.1484828,0.475174836
38,GYKGPHA,IRRIHQ_2018DS,300233098,IR16A1957,8227.914137,767.3709867,0.457430945
39,GYKGPHA,IRRIHQ_2018DS,300159798,IR15L1203,6761.281848,791.4265194,0.422035576
40,GYKGPHA,IRRIHQ_2018DS,300287234,IR100842-B-B RGA-B RGA-B RGA-9,7792.967509,738.0236149,0.50210405
41,GYKGPHA,IRRIHQ_2018DS,300437476,IR16F1159,7549.973376,773.3037711,0.453267806
42,GYKGPHA,IRRIHQ_2018DS,3042709,IR55423-01,7345.514196,605.0936258,0.562231849
43,GYKGPHA,IRRIHQ_2018DS,1604378,IR80411-B-49-1,8481.452728,706.5214196,0.492913826
44,GYKGPHA,IRRIHQ_2018DS,4194486,IR14F697,7651.746921,552.2159069,0.708458816
45,GYKGPHA,IRRIHQ_2018DS,2451001,IR09N516,7951.382685,705.2456276,0.542805906
46,GYKGPHA,IRRIHQ_2018DS,4453473,IR100688-15-AJY 2-CMU 2,7515.131957,787.4752293,0.419440136
47,GYKGPHA,IRRIHQ_2018DS,300350942,IR108289-B-AJY 1-2-B-1,8126.131178,792.9724034,0.42320879
48,GYKGPHA,IRRIHQ_2018DS,4333471,IR96173-34-3-2-AJY 3-1,7429.588068,799.0392995,0.415796682
49,GYKGPHA,IRRIHQ_2018DS,300350880,IR108135-B-1-AJY 1-B-1,7611.434423,773.7917972,0.447857434
50,GYKGPHA,IRRIHQ_2018DS,300160009,IR15L1656,6705.446423,648.7929478,0.611766935
51,GYKGPHA,IRRIHQ_2018DS,3154372,IR87707-446-B-B-B,7172.182809,551.1588892,0.723721793
52,GYKGPHA,IRRIHQ_2018DS,300159916,IR15L1504,7171.057841,601.9469099,0.665807532
53,GYKGPHA,IRRIHQ_2018DS,2969190,IR86857-101-2-1-3,6804.245235,791.5165151,0.422158673
54,GYKGPHA,IRRIHQ_2018DS,300718726,IR118170-B-52-1-1-3,6725.496644,698.8216498,0.551381236
55,GYKGPHA,IRRIHQ_2018DS,2972796,IR11N202,9028.274908,743.8844009,0.490953044
56,GYKGPHA,IRRIHQ_2018DS,300589964,IR108044-B-B-B-3-B-B,7840.500321,770.5693243,0.456588823
57,GYKGPHA,IRRIHQ_2018DS,300223848,IR16L1411,7772.056309,744.6576767,0.488509417
58,GYKGPHA,IRRIHQ_2018DS,2146449,IR81047-B-106-2-4,6170.122548,749.4312946,0.473630616
59,GYKGPHA,IRRIHQ_2018DS,1158937,CIHERANG,6872.432812,479.5133664,0.786247804
60,GYKGPHA,IRRIHQ_2018DS,2318925,IR82077-B-B-71-1,7403.678588,752.5231673,0.470427686
61,GYKGPHA,IRRIHQ_2018DS,4274214,IR14L297,7950.268783,760.1420133,0.467665591
62,GYKGPHA,IRRIHQ_2018DS,1189517,IR72667-16-1-B-B-3,7729.464635,778.220438,0.441333946
63,GYKGPHA,IRRIHQ_2018DS,300234317,IR103728-B-B-B-B-1,7681.208483,784.1980249,0.432662908
