"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_id"
1,1,"a","check","performance check","","active",7371
2,2,"b","check","performance check","","active",8823
3,3,"c","test","test","","active",4997
4,4,"d","test","test","","active",6965
5,5,"e","test","test","","active",7056
6,6,"f","test","test","","active",5148
7,7,"g","test","test","","active",6357
8,8,"h","test","test","","active",6867
9,9,"i","test","test","","active",6395
10,10,"j","test","test","","active",8184
11,11,"k","test","test","","active",9289
12,12,"l","test","test","","active",6741
13,13,"m","test","test","","active",5960
14,14,"n","test","test","","active",8270
15,15,"o","test","test","","active",6655
16,16,"p","test","test","","active",6820
17,17,"q","test","test","","active",6873
18,18,"r","test","test","","active",7355
19,19,"s","test","test","","active",6699
20,20,"t","test","test","","active",7436
21,21,"u","test","test","","active",7268
22,22,"v","test","test","","active",6684
23,23,"w","test","test","","active",7387
24,24,"x","test","test","","active",7363
