entry_id,entry_number,entry_name,entry_type,entry_role,entry_class,entry_status,germplasm_id,nRep
1,1,a,check,spatial check,,active,7371,1
2,2,b,check,spatial check,,active,8823,1
3,3,c,check,spatial check,,active,4997,1
4,4,d,check,spatial check,,active,6965,1
5,5,e,test,test,,active,7056,1
6,6,f,test,test,,active,5148,1
7,7,g,test,test,,active,6357,1
8,8,h,test,test,,active,6867,1
9,9,i,test,test,,active,6395,1
10,10,j,test,test,,active,8184,1
11,11,k,test,test,,active,9289,1
12,12,l,test,test,,active,6741,1
13,13,m,test,test,,active,5960,1
14,14,n,test,test,,active,8270,1
15,15,o,test,test,,active,6655,1
16,16,p,test,test,,active,6820,1
17,17,q,test,test,,active,6873,1
18,18,r,test,test,,active,7355,1
19,19,s,test,test,,active,6699,1
20,20,t,test,test,,active,7436,1
21,21,u,test,test,,active,7268,1
22,22,v,test,test,,active,6684,1
23,23,w,test,test,,active,7387,1
24,24,x,test,test,,active,7363,1
25,25,aa,test,test,,active,7364,1
26,26,ab,test,test,,active,7365,1
27,27,ac,test,test,,active,7366,1
28,28,ad,test,test,,active,7367,1
29,29,ae,test,test,,active,7368,1
30,30,af,test,test,,active,7369,1
31,31,ag,test,test,,active,7370,1
32,32,ah,test,test,,active,7372,1
33,33,ai,test,test,,active,7373,1
34,34,aj,test,test,,active,7374,1
35,35,ak,test,test,,active,7375,1
36,36,al,test,test,,active,7376,1
37,37,am,test,test,,active,7377,1
38,38,an,test,test,,active,7378,1
39,39,ao,test,test,,active,7379,1
40,40,ap,test,test,,active,7380,1
41,41,aq,test,test,,active,7381,1
42,42,ar,test,test,,active,7382,1
43,43,as,test,test,,active,7383,1
44,44,at,test,test,,active,7384,1
45,45,au,test,test,,active,7385,1
46,46,av,test,test,,active,7386,1
47,47,aw,test,test,,active,7388,1
48,48,ax,test,test,,active,7389,1
49,49,ba,test,test,,active,7390,1
50,50,bb,test,test,,active,7391,1
51,51,bc,test,test,,active,7392,1
52,52,bd,test,test,,active,7393,1
53,53,be,test,test,,active,7394,1
54,54,bf,test,test,,active,7395,1
55,55,bg,test,test,,active,7396,1
56,56,bh,test,test,,active,7397,1
