"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_id"
1,1,"IR19I179","test",NA,NA,"active",365748317
2,2,"IR19G169","test",NA,NA,"active",316010573
3,3,"IR19N114","check",NA,NA,"active",341149585
4,4,"IR19C112","check",NA,NA,"active",329894790
5,5,"IR19W138","test",NA,NA,"active",349657607
6,6,"IR19U185","test",NA,NA,"active",319110758
7,7,"IR19E112","test",NA,NA,"active",301590712
8,8,"IR19Y101","check",NA,NA,"active",383486609
9,9,"IR19I159","test",NA,NA,"active",360259236
10,10,"IR19L163","test","performance check",NA,"active",377475483
11,11,"IR19G140","check",NA,NA,"active",399567400
12,12,"IR19K119","check",NA,NA,"active",398304477
