"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_id"
1,1,"IR19E164","entry",NA,NA,"active",334308505
2,2,"IR19Z180","check",NA,NA,"active",323409610
3,3,"IR19N186","entry",NA,NA,"active",361116083
4,4,"IR19X189","entry",NA,NA,"active",397948314
5,5,"IR19Y115","entry",NA,NA,"active",338052282
6,6,"IR19K151","check",NA,NA,"active",393698259
7,7,"IR19Z170","entry",NA,NA,"active",392519086
8,8,"IR19H199","entry",NA,NA,"active",322024020
9,9,"IR19D166","entry",NA,NA,"active",382747762
10,10,"IR19I120","check","performance check",NA,"active",312535944
11,11,"IR19L187","entry",NA,NA,"active",365994755
12,12,"IR19U142","entry",NA,NA,"active",313820464
13,13,"IR19S129","entry","performance check",NA,"active",328258799
14,14,"IR19F118","entry",NA,NA,"active",322215306
15,15,"IR19V146","entry",NA,NA,"active",333874748
