"occurrence","plot_number","replicate","entry_id","entry_type","field_row","field_col"
1,1,1,"7","check",1,1
1,2,1,"13","test",2,1
1,3,1,"131","test",3,1
1,4,1,"130","test",4,1
1,5,1,"145","test",5,1
1,6,1,"70","test",6,1
1,7,1,"29","check",7,1
1,8,1,"144","test",8,1
1,9,1,"50","test",9,1
1,10,1,"129","check",10,1
1,11,1,"64","test",11,1
1,12,1,"113","test",12,1
1,13,1,"60","test",13,1
1,14,1,"125","check",14,1
1,15,1,"112","test",15,1
1,16,1,"120","test",16,1
1,17,1,"59","test",17,1
1,18,1,"103","test",18,1
1,19,1,"92","test",19,1
1,20,1,"91","test",20,1
1,21,1,"147","test",1,2
1,22,1,"51","test",2,2
1,23,1,"62","test",3,2
1,24,1,"119","test",4,2
1,25,1,"135","test",5,2
1,26,2,"7","check",6,2
1,27,1,"61","test",7,2
1,28,2,"59","test",8,2
1,29,1,"14","test",9,2
1,30,1,"26","test",10,2
1,31,1,"27","test",11,2
1,32,1,"118","test",12,2
1,33,1,"123","test",13,2
1,34,1,"104","test",14,2
1,35,1,"21","test",15,2
1,36,1,"73","test",16,2
1,37,2,"129","check",17,2
1,38,1,"20","test",18,2
1,39,1,"9","test",19,2
1,40,1,"148","check",20,2
1,41,2,"92","test",1,3
1,42,1,"105","test",2,3
1,43,1,"75","test",3,3
1,44,1,"42","test",4,3
1,45,1,"35","test",5,3
1,46,1,"106","test",6,3
1,47,1,"97","test",7,3
1,48,2,"51","test",8,3
1,49,1,"16","test",9,3
1,50,1,"53","test",10,3
1,51,1,"116","test",11,3
1,52,1,"32","test",12,3
1,53,1,"115","test",13,3
1,54,1,"48","test",14,3
1,55,3,"129","check",15,3
1,56,1,"22","test",16,3
1,57,1,"52","test",17,3
1,58,1,"89","test",18,3
1,59,2,"130","test",19,3
1,60,1,"139","test",20,3
1,61,1,"84","test",1,4
1,62,1,"93","test",2,4
1,63,1,"110","test",3,4
1,64,1,"2","test",4,4
1,65,2,"125","check",5,4
1,66,1,"82","test",6,4
1,67,1,"55","test",7,4
1,68,1,"126","test",8,4
1,69,1,"28","test",9,4
1,70,1,"67","test",10,4
1,71,1,"19","test",11,4
1,72,3,"7","check",12,4
1,73,1,"72","test",13,4
1,74,1,"83","test",14,4
1,75,1,"114","test",15,4
1,76,1,"3","test",16,4
1,77,1,"98","test",17,4
1,78,2,"35","test",18,4
1,79,1,"69","test",19,4
1,80,1,"142","test",20,4
1,81,2,"115","test",1,5
1,82,2,"83","test",2,5
1,83,1,"10","test",3,5
1,84,1,"90","test",4,5
1,85,1,"138","test",5,5
1,86,1,"74","test",6,5
1,87,1,"30","test",7,5
1,88,1,"96","test",8,5
1,89,1,"122","test",9,5
1,90,2,"29","check",10,5
1,91,1,"1","test",11,5
1,92,1,"117","test",12,5
1,93,2,"16","test",13,5
1,94,2,"55","test",14,5
1,95,1,"15","test",15,5
1,96,2,"148","check",16,5
1,97,1,"34","test",17,5
1,98,1,"95","test",18,5
1,99,2,"73","test",19,5
1,100,1,"23","test",20,5
1,101,1,"149","test",1,6
1,102,1,"102","test",2,6
1,103,1,"36","test",3,6
1,104,2,"19","test",4,6
1,105,1,"132","test",5,6
1,106,4,"129","check",6,6
1,107,1,"11","test",7,6
1,108,1,"137","test",8,6
1,109,1,"99","test",9,6
1,110,1,"150","test",10,6
1,111,3,"148","check",11,6
1,112,1,"109","test",12,6
1,113,1,"33","test",13,6
1,114,1,"6","test",14,6
1,115,2,"89","test",15,6
1,116,1,"136","test",16,6
1,117,3,"125","check",17,6
1,118,2,"28","test",18,6
1,119,1,"80","test",19,6
1,120,4,"7","check",20,6
1,121,1,"128","test",1,7
1,122,1,"141","test",2,7
1,123,5,"129","check",3,7
1,124,1,"88","test",4,7
1,125,1,"4","test",5,7
1,126,1,"8","test",6,7
1,127,2,"50","test",7,7
1,128,1,"101","test",8,7
1,129,1,"57","test",9,7
1,130,1,"65","test",10,7
1,131,1,"5","test",11,7
1,132,2,"10","test",12,7
1,133,1,"108","test",13,7
1,134,1,"87","test",14,7
1,135,1,"25","test",15,7
1,136,1,"134","test",16,7
1,137,1,"94","test",17,7
1,138,1,"121","test",18,7
1,139,3,"29","check",19,7
1,140,1,"86","test",20,7
1,141,4,"29","check",1,8
1,142,1,"45","test",2,8
1,143,1,"40","test",3,8
1,144,4,"125","check",4,8
1,145,2,"2","test",5,8
1,146,1,"77","test",6,8
1,147,1,"133","test",7,8
1,148,4,"148","check",8,8
1,149,1,"71","test",9,8
1,150,1,"81","test",10,8
1,151,1,"66","test",11,8
1,152,2,"141","test",12,8
1,153,1,"56","test",13,8
1,154,2,"118","test",14,8
1,155,1,"44","test",15,8
1,156,1,"38","test",16,8
1,157,2,"137","test",17,8
1,158,1,"68","test",18,8
1,159,1,"111","test",19,8
1,160,1,"49","test",20,8
1,161,1,"47","test",1,9
1,162,1,"17","test",2,9
1,163,5,"148","check",3,9
1,164,1,"46","test",4,9
1,165,1,"63","test",5,9
1,166,2,"38","test",6,9
