"entry_id","entry_number","entry_name","entry_type","entry_role","entry_class","entry_status","germplasm_id"
1,1,"IR19U149","test",NA,NA,"active",354785246
2,2,"IR19I169","test",NA,NA,"active",337005925
3,3,"IR19C183","check",NA,NA,"active",377608471
4,4,"IR19U146","check",NA,NA,"active",348852198
5,5,"IR19P141","test",NA,NA,"active",339506863
6,6,"IR19D151","test",NA,NA,"active",307452350
7,7,"IR19H156","test",NA,NA,"active",317164423
8,8,"IR19T105","test",NA,NA,"active",395022881
9,9,"IR19J187","test",NA,NA,"active",365645852
10,10,"IR19D180","test","performance check",NA,"active",346117552
