"occurrence","plot_number","replicate","rowblock","colblock","entry_id","field_row","field_col"
1,101,1,1,1,"12",1,1
1,102,1,2,1,"4",2,1
1,103,1,3,1,"3",3,1
1,104,1,4,1,"8",4,1
1,105,1,4,2,"9",4,2
1,106,1,3,2,"1",3,2
1,107,1,2,2,"6",2,2
1,108,1,1,2,"5",1,2
1,109,1,1,3,"2",1,3
1,110,1,2,3,"7",2,3
1,111,1,3,3,"11",3,3
1,112,1,4,3,"10",4,3
1,201,2,1,1,"6",5,1
1,202,2,2,1,"11",6,1
1,203,2,3,1,"4",7,1
1,204,2,4,1,"9",8,1
1,205,2,4,2,"7",8,2
1,206,2,3,2,"10",7,2
1,207,2,2,2,"5",6,2
1,208,2,1,2,"3",5,2
1,209,2,1,3,"2",5,3
1,210,2,2,3,"8",6,3
1,211,2,3,3,"1",7,3
1,212,2,4,3,"12",8,3
2,101,1,1,1,"5",1,1
2,102,1,2,1,"4",2,1
2,103,1,3,1,"7",3,1
2,104,1,4,1,"10",4,1
2,105,1,4,2,"6",4,2
2,106,1,3,2,"9",3,2
2,107,1,2,2,"3",2,2
2,108,1,1,2,"12",1,2
2,109,1,1,3,"2",1,3
2,110,1,2,3,"1",2,3
2,111,1,3,3,"11",3,3
2,112,1,4,3,"8",4,3
2,201,2,1,1,"3",5,1
2,202,2,2,1,"11",6,1
2,203,2,3,1,"12",7,1
2,204,2,4,1,"10",8,1
2,205,2,4,2,"9",8,2
2,206,2,3,2,"8",7,2
2,207,2,2,2,"4",6,2
2,208,2,1,2,"2",5,2
2,209,2,1,3,"7",5,3
2,210,2,2,3,"6",6,3
2,211,2,3,3,"1",7,3
2,212,2,4,3,"5",8,3
3,101,1,1,1,"6",1,1
3,102,1,2,1,"4",2,1
3,103,1,3,1,"9",3,1
3,104,1,4,1,"7",4,1
3,105,1,4,2,"5",4,2
3,106,1,3,2,"2",3,2
3,107,1,2,2,"8",2,2
3,108,1,1,2,"1",1,2
3,109,1,1,3,"10",1,3
3,110,1,2,3,"3",2,3
3,111,1,3,3,"12",3,3
3,112,1,4,3,"11",4,3
3,201,2,1,1,"11",5,1
3,202,2,2,1,"2",6,1
3,203,2,3,1,"10",7,1
3,204,2,4,1,"8",8,1
3,205,2,4,2,"12",8,2
3,206,2,3,2,"4",7,2
3,207,2,2,2,"7",6,2
3,208,2,1,2,"1",5,2
3,209,2,1,3,"9",5,3
3,210,2,2,3,"3",6,3
3,211,2,3,3,"5",7,3
3,212,2,4,3,"6",8,3
